energy_tev,v6_relative_uncertainty_percent_raw,v6_relative_uncertainty_percent_birge_pdg,pass5_relative_uncertainty_percent,v6_uncertainty_reduction_percent_raw,v6_uncertainty_reduction_percent_birge_pdg
4.935524741,1.671830864,7.650947965,1.505276186,-11.06472552,-408.2753608
5.011872336,1.688686738,7.728086995,1.525648201,-10.68650926,-406.5444961
5.089400952,1.706291698,7.808654138,1.548064877,-10.2209425,-404.4138816
5.168128856,1.724653699,7.892685792,1.57256638,-9.671281394,-401.8984187
5.248074602,1.743779852,7.980214504,1.599185093,-9.041777557,-399.0175644
5.329257029,1.763676441,8.071269029,1.627945792,-8.337541093,-395.7947046
5.411695265,1.784348938,8.165874411,1.658865928,-7.564385277,-392.256443
5.495408739,1.805802026,8.264052081,1.691956037,-6.728661153,-388.4318445
5.580417175,1.828039623,8.365819969,1.727220224,-5.837090005,-384.3516684
5.666740606,1.851064909,8.471192631,1.764656712,-4.896600908,-380.0476246
5.754399373,1.874880359,8.580181388,1.804258446,-3.914179407,-375.5516819
5.843414134,1.899487772,8.692794476,1.846013704,-2.896731918,-370.8954467
5.933805863,1.924888308,8.809037203,1.889906721,-1.850968952,-366.1096288
6.025595861,1.951082522,8.928912111,1.935918304,-0.7833087889,-361.2236008
6.118805758,1.978070403,9.052419144,1.984026411,0.3001980393,-356.2650524
6.213457517,2.005851407,9.179555818,2.034206706,1.393924178,-351.2597364
6.309573445,2.034424498,9.310317392,2.086433063,2.492702292,-346.2313006
6.407176189,2.063788185,9.444697037,2.14067803,3.59184538,-341.2011945
6.506288749,2.093940555,9.582686006,2.196913237,4.687152894,-336.1886415
6.60693448,2.124879314,9.724273796,2.255109764,5.774905146,-331.2106644
6.7091371,2.15660182,9.869448313,2.315238448,6.85184839,-326.2821534
6.812920691,2.189105114,10.01819602,2.377270156,7.915172832,-321.4159674
6.918309709,2.22238596,10.17050211,2.441176008,8.962485597,-316.623057
7.02532899,2.256440869,10.32635062,2.506927566,9.99178038,-311.912604
7.134003751,2.291266134,10.48572457,2.574496981,11.00140527,-307.292168
7.244359601,2.326857856,10.64860612,2.643857114,11.99002989,-302.7678374
7.356422545,2.36321197,10.81497668,2.714981631,12.95661291,-298.3443777
7.470218989,2.400324274,10.98481701,2.787845065,13.90037043,-294.0253764
7.58577575,2.438190448,11.15810734,2.862422871,14.82074598,-289.8133801
7.703120058,2.476806079,11.33482749,2.938691449,15.71738231,-285.7100237
7.822279564,2.51616668,11.5149569,3.016628167,16.59009527,-281.7161499
7.943282347,2.556267709,11.69847479,3.09621136,17.43884988,-277.8319188
8.066156922,2.597104584,11.88536021,3.177420324,18.26373854,-274.0569077
8.190932242,2.638672704,12.07559208,3.260235309,19.06496146,-270.3902001
8.317637711,2.680967457,12.26914932,3.344637489,19.84280911,-266.8304669
8.446303186,2.723984238,12.46601083,3.430608947,20.59764667,-263.3760368
8.576958986,2.767718458,12.66615562,3.518132642,21.32990028,-260.0249596
8.7096359,2.812165554,12.86956281,3.607192377,22.04004499,-256.7750613
8.844365191,2.857321002,13.0762117,3.697772771,22.72859424,-253.6239923
8.98117861,2.90318032,13.28608176,3.789859221,23.39609072,-250.5692689
9.120108394,2.949739079,13.49915275,3.883437872,24.04309851,-247.6083097
9.261187281,2.99699291,13.71540464,3.97849558,24.67019633,-244.7384663
9.404448517,3.044937505,13.93481775,4.075019879,25.27797176,-241.9570496
9.54992586,3.093568627,14.15737267,4.172998947,25.86701636,-239.2613526
9.697653591,3.142882111,14.38305034,4.272421576,26.43792157,-236.6486684
9.847666521,3.192873868,14.61183206,4.373277137,26.99127525,-234.1163068
10,3.243539888,14.84369946,4.475555555,27.52765889,-231.6616068
10.15468992,3.294876243,15.07863458,4.579247272,28.04764523,-229.2819471
10.31177275,3.346879087,15.31661981,4.684343227,28.55179638,-226.9747555
10.47128548,3.399544658,15.55763794,4.790834824,29.04066236,-224.7375147
10.63326572,3.45286928,15.80167214,4.898713908,29.51477989,-222.5677686
10.79775162,3.506849363,16.04870598,5.007972741,29.97467151,-220.4631257
10.96478196,3.561481401,16.29872343,5.118603981,30.42084494,-218.4212627
11.13439609,3.616761975,16.55170883,5.230600655,30.85379264,-216.4399257
11.30663398,3.672687752,16.80764692,5.343956143,31.27399152,-214.5169323
11.48153621,3.729255484,17.06652285,5.458664158,31.68190282,-212.6501716
11.65914401,3.786462005,17.32832213,5.574718723,32.07797213,-210.8376045
11.83949922,3.844304235,17.59303066,5.692114161,32.46262942,-209.0772631
12.02264435,3.902779174,17.86063472,5.810845072,32.83628929,-207.3672503
12.20862254,3.961883905,18.13112094,5.930906321,33.19935116,-205.705738
12.39747763,4.021615588,18.40447635,6.052293023,33.55219959,-204.0909665
12.58925412,4.081971465,18.6806883,6.175000528,33.8952046,-202.5212422
12.78399719,4.142948852,18.95974453,6.29902441,34.22872206,-200.9949366
12.98175275,4.20454514,19.24163309,6.424360451,34.55309408,-199.5104842
13.18256739,4.266757796,19.52634239,6.551004635,34.8686494,-198.0663804
13.38648842,4.329584357,19.81386116,6.678953133,35.17570387,-196.6611798
13.59356391,4.393022432,20.10417845,6.808202294,35.4745608,-195.2934942
13.80384265,4.457069696,20.39728363,6.938748637,35.76551148,-193.9619908
14.01737418,4.521723895,20.69316638,7.070588838,36.04883556,-192.6653897
14.23420884,4.586982837,20.99181667,7.203719728,36.32480149,-191.4024623
14.45439771,4.652844395,21.29322476,7.338138277,36.59366696,-190.1720294
14.67799268,4.719306504,21.59738121,7.473841593,36.85567929,-188.9729591
14.90504643,4.78636716,21.90427684,7.610826911,37.1110759,-187.804165
15.13561248,4.854024415,22.21390274,7.749091591,37.36008461,-186.6646043
15.36974516,4.922276382,22.52625028,7.888633104,37.60292414,-185.5532762
15.60749963,4.991121226,22.84131105,8.029449033,37.83980438,-184.4692201
15.84893192,5.060557168,23.15907691,8.171537067,38.07092684,-183.4115139
16.09409893,5.13058248,23.47953996,8.31489499,38.29648497,-182.3792722
16.34305843,5.201195485,23.80269252,8.459520682,38.51666447,-181.3716452
16.59586907,5.272394555,24.12852714,8.605412111,38.73164368,-180.3878168
16.85259045,5.344178111,24.4570366,8.752567331,38.94159383,-179.4270033
17.11328304,5.41654462,24.78821388,8.900984476,39.1466794,-178.488452
17.37800829,5.489492592,25.12205216,9.050661756,39.34705837,-177.5714399
