hour,gti_interval_count,gti_duration_seconds,histogram_counts_before,histogram_counts_after,histogram_retained_fraction,log_path
20220104_11,1,3542.19464985654,105305794.0,104092110.0,0.9884746702541363,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.79
20220104_12,1,3576.0356690269,106536191.0,105325587.0,0.9886366877899736,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.80
20220104_13,1,3270.71786534507,106227523.0,96514719.0,0.9085660314229487,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.81
20220104_16,2,1454.3378028553,106200223.0,42768588.0,0.4027165555010181,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.82
20220104_17,1,3549.11774585489,105257996.0,104065189.0,0.9886677777904873,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.83
20220104_18,1,3563.27880173922,105508672.0,104349529.0,0.9890137656172945,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.84
20220104_19,2,3470.51144130528,104681789.0,101177321.0,0.9665226584922044,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.85
20220104_20,1,3571.03472489398,104817258.0,103651470.0,0.9888779002404356,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.86
20220104_21,1,3577.25136538502,104729455.0,103579507.0,0.9890198225513539,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.87
20220104_22,2,3461.83348910417,103599072.0,100152434.0,0.9667309954282216,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.88
20220104_23,1,3584.49028080795,104816670.0,103749092.0,0.9898148071294385,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.89
20220105_00,1,3574.11590914708,104132292.0,103541742.0,0.9943288485381653,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.90
20220105_01,1,3563.6246325681,104067403.0,102914165.0,0.9889183551548798,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.91
20220105_02,1,3564.39346326515,104759426.0,103605870.0,0.9889885230948097,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.92
