cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form
38,"[500,800)","[3.25,3.5)",477133,186586,290547,16640,0.1214704937658773,43.47639258630079,0.0,0.1270200298753687,0.3107539117336273,0.19667969644069672,0.590565025806427,383.6216216216216,,,0.0,32,9100,109261.0,136988,49035,crab_roi_local,dec_sideband,False,False,direct_expectation
39,"[500,800)","[3.5,3.75)",280350,97387,182963,8501,0.12015547703180213,43.47639258630079,0.0,0.07463341536963408,0.32525408267974854,0.2058570235967636,0.7030451893806458,192.67567567567568,,,0.0,32,9100,56424.0,70750,26244,crab_roi_local,dec_sideband,False,False,direct_expectation
40,"[500,800)","[3.75,4.0)",90323,26650,63673,2235,0.11623673809028501,43.47639258630079,0.0,0.02404535037072038,0.5331345796585083,0.33742696046829224,0.7524763941764832,148.86913229018495,,,0.0,88,9100,15460.0,19228,7253,crab_roi_local,dec_sideband,False,False,direct_expectation
41,"[500,800)","[4.0,4.25)",26383,7206,19177,664,0.12710566615620214,43.47639258630079,0.0,0.00702355412055308,0.974081814289093,0.6165074706077576,0.6689862012863159,142.8208593208593,,,0.0,300,9100,4165.0,5224,1874,crab_roi_local,dec_sideband,False,False,direct_expectation
42,"[500,800)","[4.25,4.5)",6543,2019,4524,261,0.18536931818181818,43.47639258630079,0.0,0.0017418456813394535,1.18329656124115,0.7489218711853027,0.6910998225212097,64.49955436720143,,,0.0,440,8600,1070.0,1408,512,crab_roi_local,dec_sideband,False,False,direct_expectation
43,"[500,800)","[4.5,4.75)",2484,741,1743,130,0.26804123711340205,43.47639258630079,0.0,0.0006612784154741254,1.3993562459945679,0.8856685161590576,0.6936807632446289,20.03581757508343,,,0.0,616,7892,321.0,485,199,crab_roi_local,dec_sideband,False,False,direct_expectation
44,"[500,800)","[4.75,5.0)",1025,302,723,57,0.296875,43.47639258630079,0.0,0.00027287052168316366,1.5490642786026,0.9804204106330872,0.6524077653884888,12.616752978821943,,,0.0,740,7356,125.0,192,90,crab_roi_local,dec_sideband,False,False,direct_expectation
45,"[500,800)",>=5,568,149,419,32,0.3950617283950617,43.47639258630079,0.0,0.0001512102012839385,1.8619089126586914,1.1784234046936035,0.5087777972221375,10.56017316017316,,,0.0,1092,6020,45.0,81,43,crab_roi_local,dec_sideband,False,False,direct_expectation
46,"[800,1100)","[3.25,3.5)",52986,21484,31502,1989,0.12497643732327993,43.47639258630079,0.0,0.014105675572589375,0.2561948299407959,0.1621486246585846,0.6978591084480286,33.567567567567565,,,0.0,24,9100,12589.0,15915,5504,crab_roi_local,dec_sideband,False,False,direct_expectation
47,"[800,1100)","[3.5,3.75)",122657,47830,74827,4310,0.12249886311959982,43.47639258630079,0.0,0.032653150807894445,0.2622322738170624,0.16596980392932892,0.6843349933624268,73.21621621621621,,,0.0,24,9100,27954.0,35184,12498,crab_roi_local,dec_sideband,False,False,direct_expectation
48,"[800,1100)","[3.75,4.0)",74431,26734,47697,2289,0.11704249117962878,43.47639258630079,0.0,0.01981465931648737,0.29693174362182617,0.18793147802352905,0.7769456505775452,56.270270270270274,,,0.0,32,9100,15650.0,19557,7095,crab_roi_local,dec_sideband,False,False,direct_expectation
49,"[800,1100)","[4.0,4.25)",23556,7545,16011,679,0.12218823105992442,43.47639258630079,0.0,0.00627096391099376,0.5141045451164246,0.32538262009620667,0.8465465307235718,38.04409672830726,,,0.0,80,9100,4417.0,5557,1960,crab_roi_local,dec_sideband,False,False,direct_expectation
50,"[800,1100)","[4.25,4.5)",5522,1485,4037,146,0.13153153153153152,43.47639258630079,0.0,0.001470040020228712,0.986194372177124,0.624173641204834,0.625923752784729,28.755060728744937,,,0.0,308,9100,882.0,1110,366,crab_roi_local,dec_sideband,False,False,direct_expectation
51,"[800,1100)","[4.5,4.75)",918,237,681,26,0.14942528735632185,43.47639258630079,0.0,0.00024438550137087246,1.2344653606414795,0.7813071608543396,0.7004961967468262,7.592214158390629,,,0.0,468,8448,137.0,174,62,crab_roi_local,dec_sideband,False,False,direct_expectation
52,"[800,1100)","[4.75,5.0)",150,33,117,8,0.42105263157894735,43.47639258630079,0.0,3.993227146582883e-05,1.4706326723098755,0.9307801723480225,0.6651483774185181,0.9137931034482758,,,0.0,680,7656,11.0,19,12,crab_roi_local,dec_sideband,False,False,direct_expectation
