scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
month,202202,,42,"[500,800)","[3.75,4.0)",44104
month,202202,,43,"[500,800)","[4.0,4.25)",12796
month,202202,,44,"[500,800)","[4.25,4.5)",3185
month,202202,,45,"[500,800)","[4.5,4.75)",1177
month,202202,,46,"[500,800)","[4.75,5.0)",484
month,202202,,47,"[500,800)","[5,6)",275
month,202202,,48,"[500,800)",>=6,0
month,202202,,49,"[800,1100)","[2,2.5)",0
month,202202,,50,"[800,1100)","[2.5,3)",1
month,202202,,51,"[800,1100)","[3,3.25)",1145
month,202202,,52,"[800,1100)","[3.25,3.5)",25238
month,202202,,53,"[800,1100)","[3.5,3.75)",59164
month,202202,,54,"[800,1100)","[3.75,4.0)",36502
month,202202,,55,"[800,1100)","[4.0,4.25)",11680
month,202202,,56,"[800,1100)","[4.25,4.5)",2746
month,202202,,57,"[800,1100)","[4.5,4.75)",486
month,202202,,58,"[800,1100)","[4.75,5.0)",75
month,202202,,59,"[800,1100)","[5,6)",21
month,202202,,60,"[800,1100)",>=6,0
month,202202,,61,"[1100,2000)","[2,2.5)",0
month,202202,,62,"[1100,2000)","[2.5,3)",0
month,202202,,63,"[1100,2000)","[3,3.25)",5
month,202202,,64,"[1100,2000)","[3.25,3.5)",752
month,202202,,65,"[1100,2000)","[3.5,3.75)",10348
month,202202,,66,"[1100,2000)","[3.75,4.0)",24747
month,202202,,67,"[1100,2000)","[4.0,4.25)",22650
month,202202,,68,"[1100,2000)","[4.25,4.5)",12446
month,202202,,69,"[1100,2000)","[4.5,4.75)",5080
month,202202,,70,"[1100,2000)","[4.75,5.0)",1942
month,202202,,71,"[1100,2000)","[5,6)",790
month,202202,,72,"[1100,2000)",>=6,0
month,202202,,73,"[2000,3000)","[2,2.5)",0
month,202202,,74,"[2000,3000)","[2.5,3)",0
month,202202,,75,"[2000,3000)","[3,3.25)",0
month,202202,,76,"[2000,3000)","[3.25,3.5)",0
month,202202,,77,"[2000,3000)","[3.5,3.75)",0
month,202202,,78,"[2000,3000)","[3.75,4.0)",6
month,202202,,79,"[2000,3000)","[4.0,4.25)",160
month,202202,,80,"[2000,3000)","[4.25,4.5)",711
month,202202,,81,"[2000,3000)","[4.5,4.75)",2614
month,202202,,82,"[2000,3000)","[4.75,5.0)",5336
month,202202,,83,"[2000,3000)","[5,6)",10086
month,202202,,84,"[2000,3000)",>=6,9
file,202201,0,1,"[125,200)","[2,2.5)",10482
file,202201,0,2,"[125,200)","[2.5,3)",16591
file,202201,0,3,"[125,200)","[3,3.25)",2241
file,202201,0,4,"[125,200)","[3.25,3.5)",983
file,202201,0,5,"[125,200)","[3.5,3.75)",546
file,202201,0,6,"[125,200)","[3.75,4.0)",233
file,202201,0,7,"[125,200)","[4.0,4.25)",96
file,202201,0,8,"[125,200)","[4.25,4.5)",50
file,202201,0,9,"[125,200)","[4.5,4.75)",12
file,202201,0,10,"[125,200)","[4.75,5.0)",6
file,202201,0,11,"[125,200)","[5,6)",9
file,202201,0,12,"[125,200)",>=6,0
file,202201,0,13,"[200,300)","[2,2.5)",611
file,202201,0,14,"[200,300)","[2.5,3)",7583
file,202201,0,15,"[200,300)","[3,3.25)",1972
file,202201,0,16,"[200,300)","[3.25,3.5)",564
file,202201,0,17,"[200,300)","[3.5,3.75)",293
file,202201,0,18,"[200,300)","[3.75,4.0)",165
file,202201,0,19,"[200,300)","[4.0,4.25)",64
file,202201,0,20,"[200,300)","[4.25,4.5)",21
file,202201,0,21,"[200,300)","[4.5,4.75)",10
file,202201,0,22,"[200,300)","[4.75,5.0)",5
file,202201,0,23,"[200,300)","[5,6)",1
file,202201,0,24,"[200,300)",>=6,0
file,202201,0,25,"[300,500)","[2,2.5)",6
file,202201,0,26,"[300,500)","[2.5,3)",1887
file,202201,0,27,"[300,500)","[3,3.25)",2339
file,202201,0,28,"[300,500)","[3.25,3.5)",861
file,202201,0,29,"[300,500)","[3.5,3.75)",166
file,202201,0,30,"[300,500)","[3.75,4.0)",102
file,202201,0,31,"[300,500)","[4.0,4.25)",61
file,202201,0,32,"[300,500)","[4.25,4.5)",20
file,202201,0,33,"[300,500)","[4.5,4.75)",6
file,202201,0,34,"[300,500)","[4.75,5.0)",2
file,202201,0,35,"[300,500)","[5,6)",1
file,202201,0,36,"[300,500)",>=6,0
file,202201,0,37,"[500,800)","[2,2.5)",0
file,202201,0,38,"[500,800)","[2.5,3)",19
file,202201,0,39,"[500,800)","[3,3.25)",528
file,202201,0,40,"[500,800)","[3.25,3.5)",948
