cell_id,nhit_bin,predE_bin,rho_bin_low_deg,rho_bin_high_deg,rho_bin_center_deg,count,annulus_area_sqdeg,density_per_sqdeg,cumulative_count_within_12deg,cumulative_fraction_within_12deg
2,"[125,200)","[2.5,3)",5.6,5.7,5.65,70323,3.54999969856,19809.2974567,2204740,0.63497503577
2,"[125,200)","[2.5,3)",5.7,5.8,5.75,69835,3.61283155163,19329.7138275,2274575,0.655087829852
2,"[125,200)","[2.5,3)",5.8,5.9,5.85,70951,3.6756634047,19302.9100296,2345526,0.675522036952
2,"[125,200)","[2.5,3)",5.9,6,5.95,70254,3.73849525777,18792.052726,2415780,0.695755504918
2,"[125,200)","[2.5,3)",6,6.1,6.05,69551,3.80132711084,18296.504871,2485331,0.715786505722
2,"[125,200)","[2.5,3)",6.1,6.2,6.15,68639,3.86415896392,17762.9855917,2553970,0.735554846424
2,"[125,200)","[2.5,3)",6.2,6.3,6.25,68321,3.92699081699,17397.7997872,2622291,0.755231601697
2,"[125,200)","[2.5,3)",6.3,6.4,6.35,66287,3.98982267006,16614.0215949,2688578,0.774322555821
2,"[125,200)","[2.5,3)",6.4,6.5,6.45,64265,4.05265452313,15857.5076245,2752843,0.792831164851
2,"[125,200)","[2.5,3)",6.5,6.6,6.55,63136,4.1154863762,15341.0786062,2815979,0.811014616804
2,"[125,200)","[2.5,3)",6.6,6.7,6.65,60187,4.17831822927,14404.5993382,2876166,0.828348743494
2,"[125,200)","[2.5,3)",6.7,6.8,6.75,56379,4.24115008235,13293.3282023,2932545,0.844586149057
2,"[125,200)","[2.5,3)",6.8,6.9,6.85,52827,4.30398193542,12273.9827427,2985372,0.859800562646
2,"[125,200)","[2.5,3)",6.9,7,6.95,48418,4.36681378849,11087.7180354,3033790,0.873745164404
2,"[125,200)","[2.5,3)",7,7.1,7.05,44289,4.42964564156,9998.31670156,3078079,0.886500595593
2,"[125,200)","[2.5,3)",7.1,7.2,7.15,39288,4.49247749463,8745.28587999,3117367,0.89781571629
2,"[125,200)","[2.5,3)",7.2,7.3,7.25,35726,4.55530934771,7842.71654745,3153093,0.908104964967
2,"[125,200)","[2.5,3)",7.3,7.4,7.35,31243,4.61814120078,6765.27603676,3184336,0.917103089482
2,"[125,200)","[2.5,3)",7.4,7.5,7.45,27878,4.68097305385,5955.59933358,3212214,0.925132078863
2,"[125,200)","[2.5,3)",7.5,7.6,7.55,24813,4.74380490692,5230.61139462,3237027,0.932278334458
2,"[125,200)","[2.5,3)",7.6,7.7,7.65,22039,4.80663675999,4585.11868079,3259066,0.938625665578
2,"[125,200)","[2.5,3)",7.7,7.8,7.75,19308,4.86946861306,3965.11437577,3278374,0.944186456416
2,"[125,200)","[2.5,3)",7.8,7.9,7.85,17222,4.93230046614,3491.6769808,3295596,0.949146469871
2,"[125,200)","[2.5,3)",7.9,8,7.95,15405,4.99513231921,3084.00238784,3311001,0.953583179155
2,"[125,200)","[2.5,3)",8,8.1,8.05,13821,5.05796417228,2732.52232108,3324822,0.957563689315
2,"[125,200)","[2.5,3)",8.1,8.2,8.15,12131,5.12079602535,2368.96762533,3336953,0.961057471873
2,"[125,200)","[2.5,3)",8.2,8.3,8.25,11081,5.18362787842,2137.69202958,3348034,0.96424884971
2,"[125,200)","[2.5,3)",8.3,8.4,8.35,9926,5.24645973149,1891.94247321,3357960,0.967107582352
2,"[125,200)","[2.5,3)",8.4,8.5,8.45,8860,5.30929158457,1668.7725394,3366820,0.9696593022
2,"[125,200)","[2.5,3)",8.5,8.6,8.55,7907,5.37212343764,1471.85746787,3374727,0.971936553761
2,"[125,200)","[2.5,3)",8.6,8.7,8.65,7177,5.43495529071,1320.52604228,3381904,0.97400356204
2,"[125,200)","[2.5,3)",8.7,8.8,8.75,6482,5.49778714378,1179.01981842,3388386,0.975870407192
2,"[125,200)","[2.5,3)",8.8,8.9,8.85,5799,5.56061899685,1042.86950846,3394185,0.977540545273
2,"[125,200)","[2.5,3)",8.9,9,8.95,5327,5.62345084993,947.283108213,3399512,0.979074745231
2,"[125,200)","[2.5,3)",9,9.1,9.05,4701,5.686282703,826.726395,3404213,0.980428654374
2,"[125,200)","[2.5,3)",9.1,9.2,9.15,4362,5.74911455607,758.725531986,3408575,0.981684929992
2,"[125,200)","[2.5,3)",9.2,9.3,9.25,3964,5.81194640914,682.043453423,3412539,0.98282657982
2,"[125,200)","[2.5,3)",9.3,9.4,9.35,3665,5.87477826221,623.853333082,3416204,0.983882116303
2,"[125,200)","[2.5,3)",9.4,9.5,9.45,3421,5.93761011528,576.157735786,3419625,0.984867379689
2,"[125,200)","[2.5,3)",9.5,9.6,9.55,3179,6.00044196836,529.794307947,3422804,0.985782945986
2,"[125,200)","[2.5,3)",9.6,9.7,9.65,2986,6.06327382143,492.473222873,3425790,0.986642927416
2,"[125,200)","[2.5,3)",9.7,9.8,9.75,2785,6.1261056745,454.611811806,3428575,0.987445019941
2,"[125,200)","[2.5,3)",9.8,9.9,9.85,2693,6.18893752757,435.131230199,3431268,0.988220616053
