cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
27,"[300,500)","[3,3.25)",10000,151506,149416,149370,140311,57652938.925921425,4987.451794362741,137546,14821.045432782734,0.8396099757787389,0.16039002422126114,0.0,0.2511236465532257,0.23707270884634618,0.23663023265482527,13.479192802357286,0.3967753615540967,0.6226853777760776,0.44355118728086457,41.0383550629513,52.566478506852526,False,False
28,"[300,500)","[3.25,3.5)",10000,112141,109549,109489,107313,40027315.0463686,12077.82561503324,104117,16658.09864625114,0.9164483138733968,0.08355168612660324,0.0,0.26287532081691095,0.24437568400012682,0.2441599943008174,9.318058120716817,0.41534300689071935,0.7099424774214284,0.39506850045109315,0.8314774271380477,34.51222072373659,False,False
29,"[300,500)","[3.5,3.75)",9881,46983,45651,45615,45273,15574731.235473635,12527.712534938406,43474,12772.178963024277,0.8768346422900254,0.12316535770997461,0.0,0.4108495769409997,0.28626854720904454,0.287165582942542,9.253808679854393,0.6491423315667796,0.7228149075136489,0.5581479383469876,21.47839333876299,38.23777081599336,False,False
30,"[300,500)","[3.75,4.0)",8738,20906,20237,20181,19864,6152456.981354713,9923.296742634233,18966,9621.69826242246,0.8936585325687121,0.10634146743128792,0.0,0.6256966141497085,0.44148285823726974,0.4499929194131614,9.363552923912017,0.9886006503565393,0.6621682921443116,1.0322885214733117,5.810429828785324,37.68941482856101,False,False
31,"[300,500)","[4.0,4.25)",7370,13417,13167,13094,12765,2993186.2214059834,8891.497864170991,12243,8865.369546690394,0.9223984399235409,0.07760156007645913,0.0,0.7926684274298438,0.70690213606498,0.7187758696853447,7.3460230436392955,1.2524161153391533,0.6727133445066301,1.271545064548744,2.469765718593353,11.066120770846924,False,False
32,"[300,500)","[4.25,4.5)",6796,11186,11067,11034,10795,1935075.7158918383,7115.353008036998,10175,7224.999696427184,0.8990267101438961,0.10097328985610388,0.0,0.9153229149882733,0.8937501652619434,0.897660198816808,6.8890700884227,1.446210205681472,0.6437092561927531,1.5512001748211564,3.022274614156973,4.9395922084737025,False,False
33,"[300,500)","[4.5,4.75)",6278,10057,10026,9972,9808,1275358.5352220535,5701.5876568929925,8994,5456.680886505859,0.8774014044315835,0.12259859556841646,0.0,1.0364352940822896,1.0011371840694239,1.004702224057307,4.155617618944247,1.6375677646500175,0.6132630334491539,1.8621377286469922,3.2412114996196633,4.180599245472564,False,False
34,"[300,500)","[4.75,5.0)",5654,8426,8419,8323,8161,766810.0389614105,4584.290255879797,6854,4008.21792550204,0.7985394279186255,0.20146057208137447,0.0,1.1581812145317656,1.1187191926074729,1.1204971913785855,2.369338369585853,1.82992631896019,0.5398175849504181,2.3439899985224177,4.012437835794526,5.05972390354502,True,False
35,"[300,500)","[5,6)",9611,34776,34776,34032,33535,942977.6157646178,9363.051485297314,14200,4979.904817619716,0.5214840877520683,0.47851591224793166,0.0,1.322825728220092,1.3165731936772738,1.361142426478791,3.090270085214966,2.0900646505877454,0.3355389163792202,4.028655920969031,6.462428590025416,7.720950876646034,True,False
36,"[300,500)",>=6,421,433,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
