cell_id,nhit_bin,predE_bin,included_in_final_sed_fit,source,events,fit_status,fit_error,conditional_core_fraction,physical_core_fraction,sigma_core_deg,gamma_core,sigma_tail_deg,gamma_tail,conditional_r_target_deg,rayleigh_sigma_deg,original_r_opt_deg,rayleigh_kl_divergence,double_king_kl_divergence,kl_improvement_factor,optimizer_success,optimizer_message,boundary_flags
11,"[100,200)","[5,5.5)",False,formal,13418,ok,,0.03626508921859839,0.01825774236108845,0.9981267120548418,99.99999999999999,4.25350272266767,99.99999999959797,3.951263531901007,1.424324631690979,2.2504329681396484,0.8914115204485672,,27.6910684944304,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core;gamma_tail
12,"[100,200)","[5.5,6)",False,formal,11489,ok,,0.00900648413039619,0.00014394156174042403,0.11250396663291737,99.99999999999999,5.625198331645867,1.05,4.108192970237574,1.483755111694336,2.3443329334259033,1.0594275018190173,,16.177961250416747,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sigma_ratio;gamma_core;gamma_tail
13,"[100,200)",>=6,False,unfiltered_diagnostic,173,ok,,0.0009110511944006454,8.134054504280458e-07,2.0,1.05,99.99999999999999,1.05,4.221210872230112,1.6133440732955933,2.549083709716797,2.5402803490208106,,1.7973648178329626,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,conditional_core_fraction;sigma_core;sigma_ratio;gamma_core;gamma_tail
14,"[200,300)","[2,2.5)",False,formal,14538,ok,,0.9872223627589942,0.14827761900288397,0.32122333345963777,6.675870314106416,16.061166672981887,1.05,0.5904056234486387,0.39428216218948364,0.6229658126831055,5.626567309343603,,199.0963054898819,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sigma_ratio;gamma_tail
15,"[200,300)","[2.5,3)",True,formal,230381,ok,,0.9815699328699266,0.1507303865867927,0.26262974922956783,5.733375955006158,13.13148746147839,1.05,0.4989350618723641,0.3476797044277191,0.549333930015564,7.633323872203512,,1081.4851517154493,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sigma_ratio;gamma_tail
16,"[200,300)","[3,3.25)",True,formal,138621,ok,,0.9800201924263112,0.5916341684997741,0.2510791831543642,5.504780129937187,3.8068923367011305,1.05,0.4816857550724242,0.34006282687187195,0.5372992753982544,7.8493738366767225,,1014.1581272011279,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_tail
17,"[200,300)","[3.25,3.5)",True,formal,64290,ok,,0.9473737072568124,0.7955254613476602,0.24747631963722994,3.5150993774671693,0.3034362729400124,1.05,0.5529695624574983,0.4160386025905609,0.657340943813324,5.242691416100629,,856.509617247545,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_tail
18,"[200,300)","[3.5,3.75)",True,formal,28446,ok,,0.8203343276263709,0.8214257733085301,0.2846520084744389,2.143817057577801,0.7494778928155278,99.99999999999999,0.9073688215655283,0.6282466053962708,0.9926295876502991,0.27107588811868855,,54.87798830861812,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_tail
19,"[200,300)","[3.75,4.0)",True,formal,17909,ok,,0.5557609698813404,0.5655183118340664,0.2869526117945149,1.7233979502993573,0.8751235124824143,16.61784015939675,1.2880605494096862,0.8105365633964539,1.2806477546691895,0.18432997355672903,,44.755694706631516,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
20,"[200,300)","[4.0,4.25)",True,formal,13851,ok,,0.08810227771217344,0.08635181496359197,0.29668083313276333,99.99999999999999,0.7561609256149986,2.745686135541206,1.6700922807699636,0.9602524638175964,1.517198920249939,0.1895905471992528,,30.369698656631037,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
