cell_id,nhit_bin,predE_bin,N_on,B_on,excess,significance,fit_reliable,unreliable_reason,fit_status,fit_reason,fit_radius_deg,sigma_obs_deg,sigma_mc_deg,sigma_obs_over_mc,r68_obs_deg,r68_mc_deg,r68_obs_over_mc,r90_mc_deg,profile_residual_rms,fit_chi2_over_ndof,psf_risk_cell
30,"[300,500)","[3.25,3.5)",1706.0,905.5029137124726,800.4970862875274,15.664426457838502,1,,fit,,2.0,0.253448275862069,0.2630475163459778,0.963507579857613,0.38260353665757685,0.3946857452392578,0.9693877756483028,0.8537484407424927,0.11731688514936096,0.7439814428335159,0
31,"[300,500)","[3.5,3.75)",1088.0,755.9538163998509,332.0461836001491,7.732563110300883,1,,fit,,2.0,0.3157953281423804,0.4099663496017456,0.7702957290254532,0.4767221595658813,0.559271514415741,0.8523984277366653,21.349943161010742,0.2654846199176134,0.4024798706121227,0
32,"[300,500)","[3.75,4.0)",891.0,785.722554446398,105.27744555360198,2.5710157406595773,0,significance_lt_5,fit,,2.5,0.5290878754171302,0.6266281008720398,0.844341124633305,0.7987069221469231,1.0288724899291992,0.7762933988077427,5.4401164054870605,0.4443703214641369,0.7161817304749334,0
42,"[500,800)","[3,3.25)",4177.0,3553.788140065321,623.2118599346791,7.088001873209246,1,,fit,,3.0,0.21407119021134596,1.0,0.21407119021134596,0.3231601958733845,1.5095921754837036,0.21407119162487545,2.145966053009033,,1.1056079807141634,0
43,"[500,800)","[3.25,3.5)",1155.0,396.87882021651717,758.1211797834828,19.2446371379589,1,,fit,,2.0,0.20750834260289208,0.19667969644069672,1.0550572649752916,0.3132529724093524,0.37391504645347595,0.8377650896386932,40.619808197021484,0.085593267024385,1.0750378024592089,0
44,"[500,800)","[3.5,3.75)",559.0,195.5513583916744,363.4486416083256,13.231182122074651,1,,fit,,2.0,0.2206340378197998,0.2058570235967636,1.0717829004075259,0.33306741933741657,0.31295713782310486,1.064258900289658,0.5386852622032166,0.14882558596317585,0.8166878983239689,0
45,"[500,800)","[3.75,4.0)",238.0,158.51301020095158,79.48698979904842,3.991786724785234,0,excess_lt_100;significance_lt_5,fit,,2.0,0.20094549499443826,0.33742696046829224,0.595522938402905,0.3033457489453204,0.4082159101963043,0.7431012397322937,22.841766357421875,0.4544744081069126,0.6315563539567415,0
46,"[500,800)","[4.0,4.25)",175.0,144.93814504201754,30.06185495798246,1.6806712223822073,0,N_on_lt_200;excess_lt_100;significance_lt_5,not_fit,low_stat_empirical_psf_unreliable,2.5,,0.6165074706077576,,,0.9964646697044373,,2.1458423137664795,0.4529679341106564,,0
56,"[800,1100)","[3.25,3.5)",1316.0,1109.018763946177,206.98123605382307,4.203135824346216,0,significance_lt_5,fit,,3.0,0.1878197997775306,1.0,0.1878197997775306,0.2835313020172563,1.5095921754837036,0.18781980101772003,2.145966053009033,,0.48525677766158026,0
57,"[800,1100)","[3.5,3.75)",280.0,72.5481464320247,207.45185356797532,11.048621648329465,1,,fit,,2.0,0.17141268075639599,0.16596980392932892,1.0327943800511126,0.25876324335717615,0.26032283902168274,0.994008994099912,0.410076767206192,0.11515594001557813,0.6858799983296682,0
58,"[800,1100)","[3.75,4.0)",152.0,55.02882644260081,96.9711735573992,6.739493229815511,0,N_on_lt_200;excess_lt_100,not_fit,low_stat_empirical_psf_unreliable,2.0,,0.18793147802352905,,,0.2545146644115448,,0.39611101150512695,0.170679415894095,,0
59,"[800,1100)","[4.0,4.25)",105.0,38.063762493053545,66.93623750694645,5.596241860055152,0,N_on_lt_200;excess_lt_100,not_fit,low_stat_empirical_psf_unreliable,2.0,,0.32538262009620667,,,0.29471883177757263,,1.2509498596191406,0.32214770569282886,,0
70,"[1100,2000)","[3.5,3.75)",514.0,406.8932743889038,107.10672561109618,3.529491107148964,0,significance_lt_5,fit,,3.0,0.16813125695216907,1.0,0.16813125695216907,0.2538096316251601,1.5095921754837036,0.16813125806235346,2.145966053009033,,0.9456587772209997,0
71,"[1100,2000)","[3.75,4.0)",131.0,20.70683966859689,110.29316033140312,8.954596076493903,0,N_on_lt_200,not_fit,low_stat_empirical_psf_unreliable,2.0,,0.1374865472316742,,,0.20665188133716583,,0.3100445866584778,0.20580457893166465,,0
72,"[1100,2000)","[4.0,4.25)",93.0,17.837375801526598,75.1626241984734,7.139352362346768,0,N_on_lt_200;excess_lt_100,not_fit,low_stat_empirical_psf_unreliable,2.0,,0.1470915973186493,,,0.20905862748622894,,0.3304864466190338,0.23212108423232145,,0
73,"[1100,2000)","[4.25,4.5)",44.0,20.011317207828128,23.988682792171872,2.998320262196582,0,N_on_lt_200;excess_lt_100;significance_lt_5,not_fit,low_stat_empirical_psf_unreliable,2.0,,0.1850850135087967,,,0.2076011300086975,,0.31544771790504456,0.4308898235157034,,0
74,"[1100,2000)","[4.5,4.75)",46.0,18.928737261706992,27.071262738293008,3.359619052663037,0,N_on_lt_200;excess_lt_100;significance_lt_5,not_fit,low_stat_empirical_psf_unreliable,2.0,,0.35360273718833923,,,0.2627982795238495,,19.196062088012695,0.3385702640485457,,0
85,"[2000,3000)","[4.0,4.25)",8.0,11.459506067193498,-3.459506067193498,-0.7842385566233626,0,N_on_lt_200;excess_lt_100;significance_lt_5,not_fit,low_stat_empirical_psf_unreliable,3.0,,1.0,,,1.5095921754837036,,2.145966053009033,,,0
86,"[2000,3000)","[4.25,4.5)",31.0,41.244068209784935,-10.244068209784935,-1.2052339716828295,0,N_on_lt_200;excess_lt_100;significance_lt_5,not_fit,low_stat_empirical_psf_unreliable,3.0,,1.0,,,1.5095921754837036,,2.145966053009033,,,0
87,"[2000,3000)","[4.5,4.75)",6.0,1.8890073103025022,4.110992689697498,1.4636442308692248,0,N_on_lt_200;excess_lt_100;significance_lt_5,not_fit,low_stat_empirical_psf_unreliable,2.0,,0.12809519469738007,,,0.1785280406475067,,0.26654648780822754,0.33004666404616534,,0
88,"[2000,3000)","[4.75,5.0)",11.0,6.792576931587371,4.207423068412629,0.9974629143759055,0,N_on_lt_200;excess_lt_100;significance_lt_5,not_fit,low_stat_empirical_psf_unreliable,2.0,,0.16202151775360107,,,0.2067636251449585,,0.31604018807411194,0.26593946511059796,,0
89,"[2000,3000)","[5,5.5)",19.0,11.773532789747684,7.226467210252316,1.3026788390788826,0,N_on_lt_200;excess_lt_100;significance_lt_5,not_fit,low_stat_empirical_psf_unreliable,2.0,,0.19145694375038147,,,0.29344823956489563,,24.449039459228516,0.35942211528750484,,0
90,"[2000,3000)","[5.5,6)",47.0,37.707371689783,9.292628310216998,1.0096665376775815,0,N_on_lt_200;excess_lt_100;significance_lt_5,not_fit,low_stat_empirical_psf_unreliable,3.0,,1.0,,,1.5095921754837036,,2.145966053009033,,,0
