selector,variant,nhit_bin,cells,total_excess,total_expected_counts,observed_over_expected
nhit_only,pass5_endpoint_extrap,"[800,1100)",1,741.4443776969393,131.1622680716988,5.65287859532617
nhit_only,pass5_endpoint_extrap,"[1100,2000)",1,338.1421211249114,68.45023374727289,4.939970291020128
nhit_only,pass5_endpoint_extrap,"[2000,3000)",1,28.231737999834667,31.857630218479162,0.8861844966565882
nhit_only,pass5_flat_below_min,"[125,200)",1,1885.4965745534137,423.8115766518841,4.448902952224326
nhit_only,pass5_flat_below_min,"[200,300)",1,3679.5001457466824,2178.1669630194833,1.689264509202718
nhit_only,pass5_flat_below_min,"[300,500)",1,4446.368373305411,446.920217466062,9.94890855131891
nhit_only,pass5_flat_below_min,"[500,800)",1,1984.5204338870794,204.29004677659088,9.714229670999718
nhit_only,pass5_flat_below_min,"[800,1100)",1,741.4443776969393,126.56498377424924,5.858210980530246
nhit_only,pass5_flat_below_min,"[1100,2000)",1,338.1421211249114,65.859672002475,5.134281888197137
nhit_only,pass5_flat_below_min,"[2000,3000)",1,28.231737999834667,30.7333634945492,0.9186022872127805
nhit_only,pass5_cut_below_min,"[125,200)",1,1885.4965745534137,210.43624531537841,8.959942103736175
nhit_only,pass5_cut_below_min,"[200,300)",1,3679.5001457466824,1834.8930612675515,2.0052940541422446
nhit_only,pass5_cut_below_min,"[300,500)",1,4446.368373305411,435.72291740123364,10.20457771609702
nhit_only,pass5_cut_below_min,"[500,800)",1,1984.5204338870794,200.66400055958374,9.889768111634005
nhit_only,pass5_cut_below_min,"[800,1100)",1,741.4443776969393,125.37325231072866,5.913896018740284
nhit_only,pass5_cut_below_min,"[1100,2000)",1,338.1421211249114,65.11617395741425,5.192905242652236
nhit_only,pass5_cut_below_min,"[2000,3000)",1,28.231737999834667,30.4200257336915,0.9280642379130795
