cell_id,nhit_bin,predE_bin,N_on,B_on,excess,error_conservative,logpar_model,logpar_pull,stagef_model_ratio,official_expected_aperture_response,ratio_aperture_response,fit_minus_official_pass5_aperture_counts,fit_vs_official_pass5_aperture_pull,required_delta_b_over_b_aperture_response,offsource_mean_sigma,offsource_min_sigma,offsource_max_sigma,offsource_mean_excess,events,aperture_kept_fraction,truth_range_events,effective_events,core_fit_effective_events,theta_missing_crab_probability_mass,sigma_deg,r_opt_deg,stageb_containment_r_opt,r68_deg,r90_deg,containment_warning,psf_borrowed,empirical_significance,fit_reliable,sigma_obs_over_mc,r68_obs_over_mc,profile_residual_rms,true_e50_tev,frac_below_pass5_min,frac_below_1tev,frac_above_10tev
30,"[300,500)","[3.75,4.0)",891,785.7225555577202,105.27744444227983,40.947802817217436,62.43689598920566,1.0462233747755785,1.6861415477873951,62.756729538362926,1.6775482918995033,42.520714903916904,1.038412612606362,0.05411670392195236,-3.013390479279085,-3.6154615802782057,-2.411319378279965,-31.512316030668053,20906,0.8161771740170286,17018,8443.19975964649,8242.36651367582,0.0,0.6266281049504723,0.9900724058217462,0.6642460197654501,1.0288724989950395,5.4401164358196015,False,False,2.57101571266758,0,0.844341124633305,0.7762933988077427,0.4443703228015276,5.2741791637581965,0.031756640414552756,0.04480623261244234,0.1041259058906645
40,"[500,800)","[3.25,3.5)",1155,396.8788199362221,758.121180063778,39.393893180748485,813.7700959330975,-1.4126279830731432,0.9316159242672704,768.4358065571563,0.9865771136569088,-10.314626493378341,-0.26183313352788967,-0.025989359913526976,-0.9081580726824867,-1.3165577632390137,-0.49975838212595963,-2.24066468944044,89513,0.7590405862835565,67944,740.4660309063212,7463.49485073808,0.0,0.19667968990530443,0.310753910050381,0.5905650475161462,0.373915031643206,40.619807876794944,True,False,19.244637146812043,1,1.0550572649752916,0.8377650896386932,0.08559326663446161,2.0815009446796346,0.0021443890113898596,0.007168097525448689,7.162643670390037e-05
41,"[500,800)","[3.5,3.75)",559,195.55135881066178,363.4486411893382,27.469098252593984,387.7901410636949,-0.8861412067670631,0.9372302250707334,372.2167098277472,0.9764436458468868,-8.768068638408977,-0.31919754182614946,-0.04483767687289999,-0.7996291011586264,-1.0304066202642113,-0.5688515820530415,-1.0220601840463606,68604,0.7592560200571395,52088,2505.229096623255,5438.590294309848,0.0,0.2058570232365415,0.3252540967137356,0.703045207609005,0.31295713895283106,0.5386852432157876,False,False,13.231182103148099,1,1.0717829004075259,1.064258900289658,0.1488255838364825,3.139312398894548,0.006250247235948968,0.008727530915588703,0.0008801213151018484
42,"[500,800)","[3.75,4.0)",238,158.51301047074116,79.48698952925884,19.9126344432559,91.7217427843557,-0.6144216271313404,0.8666101091879421,91.54534040940139,0.8682800148405565,-12.058350880142555,-0.6055628106117587,-0.07607167919108018,-2.0774506303558926,-2.4511043223356515,-1.7037969383761338,-4.455418203096201,26703,0.8898625622589222,23760,4809.241979942971,5104.414183661933,0.0,0.3374269585402776,0.5331345944936386,0.7524763944030628,0.40821590135055347,22.84176650076658,False,False,3.9917867098785536,0,0.595522938402905,0.7431012397322937,0.4544744184370575,4.821646504930715,0.030383133858614336,0.040123979491099214,0.0664963882891275
52,"[800,1100)","[3.25,3.5)",174,31.844042170756428,142.15595782924356,14.347266017285538,157.6579538468538,-1.0804843235591695,0.9016732385562444,150.59815904012564,0.943942201785928,-8.442201210882075,-0.5884188109923479,-0.2651108538800663,-12.122650902519013,-12.847354060334977,-11.397947744703048,-160.35927845931988,15783,0.8054235569917,12712,0.0,0.0,0.228346,0.1732903609779372,0.27379877034514083,0.7152052146010415,0.2583867920696218,0.4054215203655819,False,True,9.908226254254611,0,,,0.12524117586775593,2.913856310338506,0.0,0.0,4.3551082032889294e-05
53,"[800,1100)","[3.5,3.75)",280,72.54814598870522,207.45185401129478,18.776265496330872,224.42294147057785,-0.9038585155604794,0.9243789990984144,218.7609410733584,0.9483039019370864,-11.309087062063611,-0.602307581572787,-0.15588388797453606,-0.3053261740257682,-1.6870061244404786,1.0763537763889421,-0.5979877655210215,32787,0.7640528258151097,25051,771.7455751122898,3873.957978438181,0.08309097112775603,0.16596980173729312,0.26223228674492316,0.6843350091427464,0.2603228533552706,0.4100767685512975,False,False,11.048621678886763,1,1.0327943800511126,0.994008994099912,0.11515594542105435,4.06272259883684,0.0007241219541665497,0.0009857768822656636,0.0032367302591643178
54,"[800,1100)","[3.75,4.0)",152,55.02882674107502,96.97117325892498,14.38849633356714,94.54149140322698,0.1688628053530341,1.025699635362586,96.15988689292773,1.0084368481724673,0.8112863659972476,0.056384374516229706,0.014742934095516183,0.2070050446534939,-0.10835132979672689,0.5223614191037147,0.22778906157778056,22615,0.7927923944284767,17929,1898.8057234003923,2280.1230609646113,0.0,0.18793147945922548,0.2969317375455763,0.7769456255176317,0.25451466949832424,0.3961110239941508,False,False,6.739493204213387,0,,,0.17067941755143243,5.841275898411806,0.009497308337947681,0.01252525800534664,0.09458314412320332
55,"[800,1100)","[4.0,4.25)",105,38.063762432081,66.936237567919,11.96092648719492,19.439929058068643,3.970955641329186,3.4432346624298384,21.26322103818768,3.1479820224652166,45.67301652973131,3.8185182877453303,1.199908091356651,-1.2805742694543518,-1.3924779501376117,-1.1686705887710918,-1.652392893339008,9020,0.944789356984479,8517,1581.0003966599822,1703.5514488817696,0.0,0.3253826098095135,0.5141045234990315,0.8465465217478706,0.2947188268918551,1.250949895561966,True,False,5.596241866345331,0,,,0.32214770526060627,8.708560989257935,0.01754913835956815,0.02099661087107803,0.47634938882852795
65,"[1100,2000)","[3.5,3.75)",54,9.076647017636056,44.923352982363944,7.942080773804561,76.08880391802298,-3.9240914092000083,0.5904068755077783,76.53973782787769,0.5869284930579124,-31.616384845513743,-3.980869213744887,-3.483266979985302,-7.736840178177459,-7.766117581807557,-7.707562774547361,-61.742040077669834,10960,0.7522810218978102,8245,0.0,0.0,0.207581,0.14068823400710523,0.22228740973122624,0.7233335747691857,0.20745412631614307,0.3168585485398698,False,True,5.656370699544515,0,,,0.23468888897342738,5.423608097467315,0.0,0.0,0.03646263161335859
66,"[1100,2000)","[3.75,4.0)",131,20.70683964618334,110.29316035381666,12.316933045453455,99.36640402734066,0.8871328833365206,1.1099642925939988,105.72121453189696,1.0432453017321353,4.571945821919698,0.3711919034590627,0.22079399367746558,-0.7096513553671175,-0.7096513553671175,-0.7096513553671175,-0.2518025230871934,23726,0.7461013234426368,17702,994.2424408375106,1235.236506999723,0.06239134320113085,0.13748655442315263,0.21722875598858116,0.7136972272159209,0.20665187711035754,0.31004459471692547,False,False,8.954596078975126,0,,,0.20580457879622877,7.806533718662397,0.0011447320793517405,0.0013577709482702578,0.3189323205579164
