selector,run,cell_id,nhit_bin,predE_bin,N_on,B_on,excess,expected_counts,observed_over_expected,required_delta_b,required_delta_b_over_b,pull_conservative,containment_r_opt
drop4,drop4,40,"[500,800)","[3.25,3.5)",1155,396.8788199362221,758.121180063778,583.698983953634,1.298822168455238,174.422196110144,0.43948476801602415,4.427645556885017,0.590565025806427
drop4,drop4,29,"[300,500)","[3.5,3.75)",1088,755.9538111908837,332.0461888091163,164.59855536807532,2.017309253210604,167.44763344104098,0.22150511177032647,3.8994557354750743,0.7223257422447205
drop4,drop4,30,"[300,500)","[3.75,4.0)",891,785.7225555577202,105.27744444227983,56.19869028818857,1.8733077924487906,49.07875415409126,0.0624632114821424,1.1985686844583265,0.6642460227012634
drop4,drop4,55,"[800,1100)","[4.0,4.25)",105,38.063762432081,66.936237567919,19.434470877886223,3.4442016964857687,47.50176669003277,1.24795247907488,3.971411975559503,0.8465465307235718
drop4,drop4,41,"[500,800)","[3.5,3.75)",559,195.55135881066178,363.4486411893382,334.73648332291054,1.0857754063178404,28.712157866427674,0.1468266855370081,1.0452530185884898,0.7030451893806458
drop4,drop4,69,"[1100,2000)","[4.5,4.75)",46,18.928737590024877,27.071262409975123,4.545350931533239,5.955813493336462,22.525911478441884,1.1900377070213417,2.7955283032729654,0.7991706728935242
drop4,drop4,67,"[1100,2000)","[4.0,4.25)",93,17.83737579388189,75.16262420611811,59.60296599896509,1.2610550992952798,15.55965820715302,0.8723064640758361,1.477940449352131,0.7426062822341919
drop4,drop4,53,"[800,1100)","[3.5,3.75)",280,72.54814598870522,207.45185401129478,192.8496696378216,1.0757179641577639,14.602184373473193,0.20127577589297127,0.7776937525902928,0.6843349933624268
drop4,drop4,66,"[1100,2000)","[3.75,4.0)",131,20.70683964618334,110.29316035381666,98.71446455503877,1.117294824532246,11.578695798777886,0.5591725244712589,0.9400632248343613,0.7136972546577454
drop4,drop4,52,"[800,1100)","[3.25,3.5)",174,31.844042170756428,142.15595782924356,133.11039633154903,1.067955334421543,9.045561497694536,0.2840582062160881,0.6304728362042269,0.715205192565918
drop4,drop4,83,"[2000,3000)","[5,6)",21,12.864504552004535,8.135495447995465,0.9300025648497153,8.74782044209752,7.20549288314575,0.5601065205440031,1.2382015134036908,0.7039083242416382
drop4,drop4,54,"[800,1100)","[3.75,4.0)",152,55.02882674107502,96.97117325892498,92.09200759510337,1.052981423591867,4.87916566382161,0.08866563132045967,0.339101845718161,0.7769456505775452
drop4,drop4,82,"[2000,3000)","[4.75,5.0)",11,6.792576891202502,4.207423108797498,2.608417826008652,1.6130173114311257,1.5990052827888457,0.23540481151708698,0.3790796516892335,0.8102084398269653
drop4,drop4,42,"[500,800)","[3.75,4.0)",238,158.51301047074116,79.48698952925884,78.38197754052695,1.0140977814467689,1.1050119887318886,0.006971112247823059,0.0554930083149364,0.7524763941764832
drop4,drop4,68,"[1100,2000)","[4.25,4.5)",44,20.0113172395596,23.9886827604404,22.980867380836514,1.0438545405141797,1.007815379603887,0.050362270885975245,0.12596578556021354,0.8714531660079956
drop4,drop4,81,"[2000,3000)","[4.5,4.75)",6,1.8890073367277047,4.110992663272295,5.247519449693704,0.783416374666749,-1.1365267864214088,-0.6016529233762505,-0.4046397055282622,0.7595100998878479
drop4,drop4,65,"[1100,2000)","[3.5,3.75)",54,9.076647017636056,44.923352982363944,72.97556526599173,0.6155944502604523,-28.05221228362779,-3.0905919585858013,-3.5320985875833273,0.7233335971832275
nhit_only,nhit_only,3,"[300,500)",all,11127,6680.631626694589,4446.368373305411,475.0535961939621,9.359719427300115,3971.314777111449,0.5944519918210723,29.759883735890668,0.8296118378639221
nhit_only,nhit_only,4,"[500,800)",all,3472,1487.4795661129206,1984.5204338870794,216.43799167138505,9.16900225585234,1768.0824422156943,1.188643180380652,25.106400868529434,0.8649144768714905
nhit_only,nhit_only,2,"[200,300)",all,25138,21458.499854253318,3679.5001457466824,2768.9031386076854,1.328865605460248,910.597007138997,0.042435259376181714,4.218417605678605,0.7787011861801147
