method,spectrum,cell_id,nhit_bin,predE_bin,excess,official_expected_counts,observed_over_expected,excess_minus_expected,pull_conservative
two_1d_gaussian,official_pass5,29,"[300,500)","[3.5,3.75)",331.04618880911573,194.10731113373853,1.7054802669489728,136.9388776753772,3.189844693274177
two_1d_gaussian,official_pass5,30,"[300,500)","[3.75,4.0)",105.27744444228063,62.756729538362926,1.677548291899516,42.5207149039177,1.0384126126063817
two_1d_gaussian,official_pass5,40,"[500,800)","[3.25,3.5)",758.1211800637781,768.1525898946142,0.9869408631008947,-10.031409830836083,-0.254643779044879
two_1d_gaussian,official_pass5,41,"[500,800)","[3.5,3.75)",362.44864118933833,372.1217770981754,0.9740054559981179,-9.673135908837082,-0.35237968342640413
two_1d_gaussian,official_pass5,42,"[500,800)","[3.75,4.0)",78.48698952925884,91.49325271885328,0.8578445644559061,-13.00626318959445,-0.6539915708560744
two_1d_gaussian,official_pass5,52,"[800,1100)","[3.25,3.5)",142.15595782924356,150.58063073132078,0.9440520811929042,-8.42467290207722,-0.5871970932947923
two_1d_gaussian,official_pass5,53,"[800,1100)","[3.5,3.75)",207.45185401129473,218.6930864088376,0.9485981354868812,-11.24123239754286,-0.5986937285127089
two_1d_gaussian,official_pass5,54,"[800,1100)","[3.75,4.0)",96.97117325892499,96.15988689292773,1.0084368481724673,0.8112863659972618,0.05638437451623069
two_1d_gaussian,official_pass5,55,"[800,1100)","[4.0,4.25)",66.93623756791902,21.26322103818768,3.147982022465218,45.67301652973134,3.8185182877453334
two_1d_gaussian,official_pass5,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,76.51386805214983,0.587126936933124,-31.590515069785887,-3.9776119092091307
two_1d_gaussian,official_pass5,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,105.61618404185852,1.044282761722432,4.676976311958143,0.37971922837435196
two_1d_gaussian,official_pass5,67,"[1100,2000)","[4.0,4.25)",75.16262420611812,63.83902606999187,1.1773773635536244,11.323598136126257,1.0755765643936686
two_1d_gaussian,official_pass5,68,"[1100,2000)","[4.25,4.5)",28.991173064869926,23.3840970176444,1.2397815935759557,5.607076047225526,0.7299245247523675
two_1d_gaussian,official_pass5,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,5.0307544281947765,5.381153621463751,22.040507981780348,2.7352883784768633
two_1d_gaussian,official_pass5,81,"[2000,3000)","[4.5,4.75)",4.110992663272296,5.447682380935422,0.7546314883663238,-1.336689717663126,-0.47590407916467103
two_1d_gaussian,official_pass5,82,"[2000,3000)","[4.75,5.0)",4.207423108797492,2.696161914319834,1.5605231594033946,1.5112611944776582,0.3582779702984243
two_1d_gaussian,official_pass5,83,"[2000,3000)","[5,6)",8.135495447995464,0.9661405749953176,8.420612547024943,7.169354873000146,1.2319915095109177
mc_quantile_715,official_pass5,1,"[125,200)","[2,2.5)",-21155.5625675114,1422.850139608869,-14.868440448216779,-22578.412707120267,-35.55705973389156
mc_quantile_715,official_pass5,2,"[125,200)","[2.5,3)",5240.354551657831,2988.025457686447,1.7537851085496792,2252.3290939713834,7.061541947557277
mc_quantile_715,official_pass5,3,"[125,200)","[3,3.25)",707.8185514266152,443.6264069722537,1.595528445336405,264.1921444543615,1.6356160001659137
mc_quantile_715,official_pass5,14,"[200,300)","[2.5,3)",3285.5014355958338,2455.0108682518094,1.3382838659021534,830.4905673440244,5.319669819291629
mc_quantile_715,official_pass5,15,"[200,300)","[3,3.25)",1187.3925631876073,777.4537173105152,1.52728392282336,409.93884587709204,4.569394991034011
mc_quantile_715,official_pass5,16,"[200,300)","[3.25,3.5)",278.10273849348323,250.21554273405275,1.1114526917661187,27.887195759430483,0.34254447053075754
mc_quantile_715,official_pass5,26,"[300,500)","[2.5,3)",925.3711328008494,1015.6814936977783,0.9110839751858261,-90.31036089692884,-1.2444321430319396
