cell_id,cell_index,nhit_bin,predE_bin,input_files,input_dir,events,truth_range_events,sumw_total
53,52,"[800,1100)",>=5,5500,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_800_1100/predE_ge_5,8306,8150,149650.02854919434
54,53,"[1100,2000)","[3.5,3.75)",6624,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_1100_2000/predE_3p5_3p75,10960,10959,3406098.383049011
55,54,"[1100,2000)","[3.75,4.0)",9047,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_1100_2000/predE_3p75_4p0,23726,23680,6009177.353107452
56,55,"[1100,2000)","[4.0,4.25)",9053,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_1100_2000/predE_4p0_4p25,23998,23910,4812667.200799942
57,56,"[1100,2000)","[4.25,4.5)",7320,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_1100_2000/predE_4p25_4p5,13380,13311,2275550.017097473
58,57,"[1100,2000)","[4.5,4.75)",4265,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_1100_2000/predE_4p5_4p75,5650,5582,729099.690158844
59,58,"[1100,2000)","[4.75,5.0)",1484,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_1100_2000/predE_4p75_5p0,1641,1625,144433.02258872986
60,59,"[1100,2000)",>=5,863,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_1100_2000/predE_ge_5,914,882,23674.407945632935
61,60,"[2000,3000)","[4.0,4.25)",1105,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_2000_3000/predE_4p0_4p25,1175,1175,202709.4412689209
62,61,"[2000,3000)","[4.25,4.5)",2660,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_2000_3000/predE_4p25_4p5,3127,3127,401309.9766654968
63,62,"[2000,3000)","[4.5,4.75)",4207,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_2000_3000/predE_4p5_4p75,5515,5515,538360.1327123642
64,63,"[2000,3000)","[4.75,5.0)",4045,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_2000_3000/predE_4p75_5p0,5332,5331,374267.7941608429
65,64,"[2000,3000)",>=5,5026,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_2000_3000/predE_ge_5,7233,7185,248248.8919725418
