tau,npts,chi2,ndof,chi2_ndof,max_abs_pull,max_overlap,group_index,nhit,cells,predE,E50,p16,p84,sigma68,excess,err,model,pull,obs_model_ratio
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,10,"[500,800)",42,"[3.75,4.0)",4.92505376794929,3.2153920609880586,7.305780741001346,0.17821634951131093,79.48698952925884,19.9126344432559,93.78610229164062,-0.7180924655212896,0.84753484351107
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,11,"[800,1100)",52;53,"[3.25,3.5)..[3.5,3.75)",3.531790922435416,2.4856090153363892,4.981613660910575,0.1509686141122506,349.6078118405384,23.630323488252582,378.04336330901725,-1.2033500718944932,0.9247823021687718
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,12,"[800,1100)",54;55,"[3.75,4.0)..[4.0,4.25)",6.20747793335945,4.483390547037468,8.910285168502023,0.14914251590192396,163.90741082684397,18.71076131997723,120.1704227205916,2.3375311863742803,1.3639580115977896
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,13,"[1100,2000)",65,"[3.5,3.75)",5.415551238287147,4.134692760850699,7.198960676425248,0.12041327879039354,44.923352982363944,7.942080773804561,78.51396554181093,-4.229447359719536,0.5721702205761212
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,14,"[1100,2000)",66;67,"[3.75,4.0)..[4.0,4.25)",8.958025258457793,6.2503714062997595,13.125368052252684,0.16110283294797512,185.45578455993478,16.203216206669133,172.49179120748317,0.8000876608136426,1.0751571611709787
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,15,"[1100,2000)",68;69,"[4.25,4.5)..[4.5,4.75)",18.418943809807256,12.931820861154577,26.43621291199294,0.1552697805218073,51.059945170415524,11.355177445975228,27.510760453874372,2.0738720137647886,1.8559990464830896
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,16,"[2000,3000)",81;82;83,"[4.5,4.75)..[5,6)",46.32823054335853,31.260270765976696,72.63878632274192,0.18308792189950296,16.453911220065258,7.7166112238426745,7.182694499701138,1.201462202957439,2.2907714118635956
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,1,"[125,200)",1,"[2,2.5)",0.2732206875670897,0.1598899100171115,0.45578538234676685,0.22746966727622286,1117.3280891682298,203.59438084296866,1529.165514279183,-2.0228329652604775,0.7306783201260689
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,2,"[125,200)",2,"[2.5,3)",0.5239445760060973,0.3094624416887092,0.8445616371546606,0.21801170128632807,3656.9754303123773,277.36082017777426,3294.719392238342,1.3060822283473468,1.1099504980385988
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,3,"[125,200)",3,"[3,3.25)",1.0245178310407024,0.6379131376068546,1.610532200966142,0.20110393306542518,657.0089484061609,135.1554329340624,442.7440799019575,1.5853219056960572,1.483947450074659
