run,spectrum,cell_id,nhit_bin,predE_bin,N_on,B_on,excess,expected_counts,observed_over_expected,excess_minus_expected,pull_conservative,containment_r_opt
active_psfborrow_30cell,official_pass5,30,"[300,500)","[3.75,4.0)",891,536.9471529856024,354.05284701439757,56.19869028818857,6.300019541359486,297.854156726209,7.882202678179199,0.6642460227012634
active_psfborrow_30cell,official_pass5,39,"[500,800)","[3,3.25)",432,110.51010961433096,321.489890385669,233.44696009949809,1.377143185966722,88.04293028617093,3.7799893019085897,0.590565025806427
active_psfborrow_30cell,official_pass5,40,"[500,800)","[3.25,3.5)",1155,360.0880298770054,794.9119701229946,583.698983953634,1.3618525849380925,211.21298616936065,5.426273544344105,0.590565025806427
active_psfborrow_30cell,official_pass5,41,"[500,800)","[3.5,3.75)",559,154.4964650825501,404.5035349174499,334.73648332291054,1.208423805203322,69.76705159453934,2.6118874394086595,0.7030451893806458
active_psfborrow_30cell,official_pass5,42,"[500,800)","[3.75,4.0)",238,109.83451948073461,128.16548051926537,78.38197754052695,1.635139665275709,49.783502978738426,2.669310607647132,0.7524763941764832
active_psfborrow_30cell,official_pass5,43,"[500,800)","[4.0,4.25)",175,121.18543312390679,53.81456687609321,17.56341831773333,3.0640144135130023,36.25114855835988,2.1063955244317234,0.6689862012863159
active_psfborrow_30cell,official_pass5,52,"[800,1100)","[3.25,3.5)",174,22.37649626174378,151.6235037382562,133.11039633154903,1.1390808525623728,18.513107406707178,1.321096576770754,0.715205192565918
active_psfborrow_30cell,official_pass5,53,"[800,1100)","[3.5,3.75)",280,50.460266367343735,229.53973363265627,192.8496696378216,1.1902521485452369,36.690063994834674,2.018314521739122,0.6843349933624268
active_psfborrow_30cell,official_pass5,54,"[800,1100)","[3.75,4.0)",152,37.899577126808786,114.1004228731912,92.09200759510337,1.2389829025646961,22.00841527808784,1.597080376044264,0.7769456505775452
active_psfborrow_30cell,official_pass5,55,"[800,1100)","[4.0,4.25)",105,31.320230774983372,73.67976922501663,19.434470877886223,3.791189875349483,54.2452983471304,4.646029315974633,0.8465465307235718
