cell,nhit,pred,is_fit,bgfrac,lima,relerr_pct,pull_F,obs_pass5,pull_pass5,r715,bg_frac_spread,bg_shift_sigma,offsource_sigma,label
42,"[500,800)","[3.75,4.0)",True,0.6660210523980721,nan,25.05143868346673,-0.614422,0.8682800148405565,-0.6055628106117587,nan,0.6103132750462457,2.4362404201920578,2.0774505971271093,clean
52,"[800,1100)","[3.25,3.5)",True,0.1830117366135427,nan,10.092623788951107,-1.08048,0.9439422017859279,-0.5884188109923499,nan,0.8832246548769623,8.751189713856887,12.373246238566688,clean
53,"[800,1100)","[3.5,3.75)",True,0.2591005213882329,nan,9.05090271948526,-0.903859,0.9483039019370864,-0.602307581572787,7.513681983295842,0.15862063280279792,1.75253936230373,1.6685101551762385,clean
54,"[800,1100)","[3.75,4.0)",True,0.36203175487549355,nan,14.837910948182593,0.168863,1.0084368481724673,0.056384374516229706,nan,0.256223199563024,1.7268145122168106,0.38133460887385906,clean
55,"[800,1100)","[4.0,4.25)",True,0.36251202316267617,nan,17.869134749407422,3.97096,3.1479820224652166,3.8185182877453303,nan,0.040395273561726855,0.22606172110860848,1.2805743007956578,unexplained
65,"[1100,2000)","[3.5,3.75)",True,0.16808605588214917,nan,17.679180752430636,-3.92409,0.5869284930579124,-3.980869213744887,nan,0.3462660619935436,1.9586092073069445,7.7951675899,background
66,"[1100,2000)","[3.75,4.0)",True,0.15806747821514,nan,11.167449555295322,0.887133,1.0432453017321353,0.3711919034590627,nan,0.07307247597334329,0.654334506831904,0.2518025040626526,clean
67,"[1100,2000)","[4.0,4.25)",True,0.19179973971916012,nan,14.006872740135998,1.91212,1.1769227495873549,1.0732342890255646,nan,0.0851376180771409,0.607827454826396,0.20642516762018204,clean
68,"[1100,2000)","[4.25,4.5)",True,0.45480266453544543,nan,33.352007595013305,0.775806,1.0232615676900265,0.06816011841758884,nan,0.08628208582477043,0.2587013257866704,0.09206040948629379,clean
69,"[1100,2000)","[4.5,4.75)",True,0.4114942954353234,nan,29.765279901706283,2.96277,5.380677366081209,2.7352331176239284,nan,0.1935373121061046,0.6502116316232259,0.7479031289977938,unexplained
81,"[2000,3000)","[4.5,4.75)",True,0.31483455612128414,nan,68.32261467726156,0.488674,0.7545219544469011,-0.4761856433070484,nan,0.10812883089819848,0.15826213825242383,0.043982427567243576,clean
82,"[2000,3000)","[4.75,5.0)",True,0.6175069901093184,nan,100.25435280391571,0.747258,1.560188431907014,0.3581408376449174,nan,0.3073994052441298,0.30661950992328735,0.10907989740371704,clean
83,"[2000,3000)","[5,6)",True,0.6125954548573588,nan,71.53002167569,1.35231,8.416521284712717,1.2319108059574317,nan,0.17002834544563572,0.23770207454504536,0.31621103733778,clean
4,"[125,200)","[3.25,3.5)",False,0.9984554051054765,nan,1051.4387828781298,nan,nan,nan,nan,2.145389957737449,0.20404325888234967,5.461740961136645,clean
17,"[200,300)","[3.5,3.75)",False,0.9567960456775462,nan,65.53380628876778,nan,nan,nan,nan,1.2059232991903008,1.8401545209758263,3.504759997099855,clean
39,"[500,800)","[3,3.25)",False,0.3438067432470146,nan,8.499527267389361,nan,nan,nan,nan,0.8377722757982047,9.85669260704104,16.832356006791102,clean
43,"[500,800)","[4.0,4.25)",False,0.8282179804709515,nan,59.50004024171424,nan,nan,nan,nan,0.09303944738017746,0.1563687133692885,2.582773029605544,clean
