cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
27,"[300,500)","[3,3.25)",584014,229134,354880,11918,0.07092696629213484,43.47639258630079,0.0,0.15547337058563038,0.39609426259994507,0.25069257616996765,0.6196183562278748,705.2450638092852,,,0.0,52,3760,55720.0,168032,59964,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4281.809048502057,3754,23.281777560967956,1.0885725987939314
28,"[300,500)","[3.25,3.5)",383720,135014,248706,6765,0.06902216055176917,43.47639258630079,0.0,0.10215207471245226,0.4156150817871094,0.2630475163459778,0.7103378176689148,386.80343803857323,,,0.0,52,3760,32510.0,98012,36062,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4429.123825488474,3754,23.319845441445025,1.150363769447304
29,"[300,500)","[3.5,3.75)",153209,46764,106445,2370,0.06983116768319632,43.47639258630079,0.0,0.04078655586005446,0.6477468013763428,0.4099663496017456,0.7223257422447205,264.4878449339235,,,0.0,124,3760,11325.0,33939,12308,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3903.498637157112,3754,23.454655454855995,1.368564504627197
30,"[300,500)","[3.75,4.0)",65693,19450,46243,1625,0.11777069140455139,43.47639258630079,0.0,0.01748847139603129,0.9900724291801453,0.6266281008720398,0.6642460227012634,284.53243054125994,,,0.0,308,4400,5521.0,13798,5178,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,2622.7826347494565,4394,34.21276579839163,1.1713685346243932
31,"[300,500)","[4.0,4.25)",25810,7809,18001,1064,0.19780628369585423,43.47639258630079,0.0,0.006871012843553614,1.2538275718688965,0.7935617566108704,0.6733294129371643,214.77557936537573,,,0.0,492,5032,2461.0,5379,2067,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,1644.1820166493817,5026,47.88747730646876,0.6931757780901486
32,"[300,500)","[4.25,4.5)",10120,3070,7050,546,0.2696296296296296,43.47639258630079,0.0,0.0026940972482279186,1.4458905458450317,0.9151206016540527,0.6463560461997986,140.1029054720266,,,0.0,648,5648,963.0,2025,814,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,823.6195676363527,5642,65.5408275717797,0.41931332626466705
33,"[300,500)","[4.5,4.75)",4027,1142,2885,265,0.36754507628294036,43.47639258630079,0.0,0.0010720483812859513,1.646765112876892,1.0422563552856445,0.6165552139282227,61.63198274221908,,,0.0,848,5648,345.0,721,308,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,325.32827844309816,5642,65.48407725088104,0.2522010378264012
34,"[300,500)","[4.75,5.0)",1435,382,1053,99,0.46261682242990654,43.47639258630079,0.0,0.0003820187303564291,1.8282259702682495,1.1571050882339478,0.5390918254852295,24.286695622805766,,,0.0,1044,6280,102.0,214,121,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,100.33144485282062,6274,87.0737500964001,0.1276340108970273
35,"[300,500)","[5,6)",785,201,584,55,0.5288461538461539,43.47639258630079,0.0,0.00020897888733783753,2.085508346557617,1.3199419975280762,0.3362881541252136,26.564064805023573,,,0.0,1372,4928,40.0,104,68,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,39.641426127542154,4922,127.17686181055885,0.08968902141062418
36,"[300,500)",>=6,0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
