selector,containment_mode,nhit_bin,cells,N_on,B_on,excess,official_expected_counts,observed_over_expected,N_on_over_B_on,expected_over_all_direction_c1
all84,nominal_containment,"[500,800)",12,2800.0,1267.6052885933993,1532.394711406601,1274.1755903845644,1.2026558372100835,2.208889490439903,0.6279437466589334
all84,containment_1,"[500,800)",12,2800.0,1267.6052885933993,1532.394711406601,2029.1237824470777,0.7552002123589362,2.208889490439903,1.0
all84,aperture_response_containment_1,"[500,800)",12,2800.0,1267.6052885933993,1532.394711406601,1586.2543326339771,0.9660460368054962,2.208889490439903,0.781743502469322
all84,nominal_containment,"[800,1100)",12,830.0,271.75085617074706,558.2491438292528,453.82637706198756,1.2300940889405427,3.0542682061634157,0.7169191618613298
all84,containment_1,"[800,1100)",12,830.0,271.75085617074706,558.2491438292528,633.0230815476083,0.88187802325383,3.0542682061634157,1.0
all84,aperture_response_containment_1,"[800,1100)",12,830.0,271.75085617074706,558.2491438292528,508.9781596356098,1.096803729709969,3.0542682061634157,0.8040436035780327
all84,nominal_containment,"[1100,2000)",12,501.0,234.33371217014246,266.6662878298576,272.2543862429768,0.9794747166786432,2.137976628971931,0.735095620236041
all84,containment_1,"[1100,2000)",12,501.0,234.33371217014246,266.6662878298576,370.36594797770016,0.7200075743624078,2.137976628971931,1.0
all84,aperture_response_containment_1,"[1100,2000)",12,501.0,234.33371217014246,266.6662878298576,293.3634874244582,0.9089961745785586,2.137976628971931,0.7920908739756002
all84,nominal_containment,"[2000,3000)",12,78.0,61.34381794381581,16.656182056184186,17.013155033821164,0.9790178260923775,1.2715217704812476,0.740058452271861
all84,containment_1,"[2000,3000)",12,78.0,61.34381794381581,16.656182056184186,22.988934159988986,0.7245304171244868,1.2715217704812476,1.0
all84,aperture_response_containment_1,"[2000,3000)",12,78.0,61.34381794381581,16.656182056184186,20.651034593559963,0.8065543632074698,1.2715217704812476,0.8983032640765916
positive_excess_all84,nominal_containment,all,50,116869.0,100670.3668849505,16198.63311504949,11158.369933122322,1.4517024630063333,1.1609076594859522,0.6428516585044329
positive_excess_all84,containment_1,all,50,116869.0,100670.3668849505,16198.63311504949,17357.612421941627,0.9332293359985916,1.1609076594859522,1.0
positive_excess_all84,aperture_response_containment_1,all,50,116869.0,100670.3668849505,16198.63311504949,13647.239488566578,1.1869530925005327,1.1609076594859522,0.7862394410486552
positive_excess_all84,nominal_containment,"[125,200)",6,80966.0,75207.82027180873,5758.179728191257,3707.5141525385425,1.553110653468071,1.0765635768644886,0.6266349914778736
positive_excess_all84,containment_1,"[125,200)",6,80966.0,75207.82027180873,5758.179728191257,5916.545042903903,0.9732334811001593,1.0765635768644886,1.0
positive_excess_all84,aperture_response_containment_1,"[125,200)",6,80966.0,75207.82027180873,5758.179728191257,4556.0192362551525,1.2638620316546836,1.0765635768644886,0.77004724940267
positive_excess_all84,nominal_containment,"[200,300)",9,22739.0,18365.662365690267,4373.337634309733,2919.2167396187756,1.4981202234681805,1.2381257777274488,0.6585106924475087
positive_excess_all84,containment_1,"[200,300)",9,22739.0,18365.662365690267,4373.337634309733,4433.0589815767835,0.986528185725648,1.2381257777274488,1.0
positive_excess_all84,aperture_response_containment_1,"[200,300)",9,22739.0,18365.662365690267,4373.337634309733,3556.6500725227784,1.2296226913342836,1.2381257777274488,0.8023015455701703
positive_excess_all84,nominal_containment,"[300,500)",9,9124.0,5453.171130902323,3670.8288690976765,2535.9255085867103,1.4475302435612378,1.6731549003286597,0.6364850351475047
positive_excess_all84,containment_1,"[300,500)",9,9124.0,5453.171130902323,3670.8288690976765,3984.265722758136,0.9213313379501504,1.6731549003286597,1.0
positive_excess_all84,aperture_response_containment_1,"[300,500)",9,9124.0,5453.171130902323,3670.8288690976765,3153.5055575807683,1.1640470587639542,1.6731549003286597,0.7914897692611054
positive_excess_all84,nominal_containment,"[500,800)",8,2772.0,1234.746107595014,1537.253892404986,1269.5992564957185,1.2108182046735234,2.2449959412297185,0.6281344651748432
positive_excess_all84,containment_1,"[500,800)",8,2772.0,1234.746107595014,1537.253892404986,2021.2220899904314,0.7605566454165674,2.2449959412297185,1.0
positive_excess_all84,aperture_response_containment_1,"[500,800)",8,2772.0,1234.746107595014,1537.253892404986,1581.6466820537257,0.9719325496949186,2.2449959412297185,0.7825199862431809
positive_excess_all84,nominal_containment,"[800,1100)",8,830.0,271.69225625282667,558.3077437471734,453.35968691801844,1.2314896093708765,3.0549269657050253,0.7169712140859117
positive_excess_all84,containment_1,"[800,1100)",8,830.0,271.69225625282667,558.3077437471734,632.3262050290547,0.8829426003648224,3.0549269657050253,1.0
positive_excess_all84,aperture_response_containment_1,"[800,1100)",8,830.0,271.69225625282667,558.3077437471734,508.4845038012463,1.0979837921774735,3.0549269657050253,0.804149029025109
positive_excess_all84,nominal_containment,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,258.81921413236535,1.087396403919149,4.251341269624606,0.736281203548119
