cell_id,nhit_bin,predE_bin,active30,drop4,N_on,B_on,excess,containment_r_opt,official_expected_nominal,official_expected_containment1,official_expected_aperture_response,ratio_nominal,ratio_containment1,ratio_aperture_response,required_delta_b_over_b_nominal,required_delta_b_over_b_containment1,required_delta_b_over_b_aperture_response
60,"[800,1100)",>=6,0,0,0.0,0.0,0.0,0.7129790186882019,0.0007134324706597722,0.001000635996235071,0.00017269207025453483,0.0,0.0,0.0,,,
61,"[1100,2000)","[2,2.5)",0,0,0.0,0.0,0.0,0.7129790186882019,0.0,0.0,0.0,,,,,,
62,"[1100,2000)","[2.5,3)",0,0,0.0,0.0,0.0,0.7129790186882019,0.0,0.0,0.0,,,,,,
63,"[1100,2000)","[3,3.25)",0,0,0.0,0.0,0.0,0.7129790186882019,0.20586617627179157,0.28874086175854274,0.28874086175854274,0.0,0.0,0.0,,,
64,"[1100,2000)","[3.25,3.5)",0,0,33.0,36.48997834950927,-3.489978349509272,0.7129790186882019,12.578425100259391,17.64206907996006,17.64206907996006,-0.27745749739665754,-0.19782137422155321,-0.19782137422155321,-0.44035113684809174,-0.5791192098570681,-0.5791192098570681
65,"[1100,2000)","[3.5,3.75)",1,1,54.0,9.076647017636056,44.923352982363944,0.7233335971832275,72.97556526599173,100.88784144711352,76.53973782787769,0.6155944502604523,0.44528014811292443,0.5869284930579124,-3.0905919585858013,-6.165766759025637,-3.483266979985302
66,"[1100,2000)","[3.75,4.0)",1,1,131.0,20.70683964618334,110.29316035381666,0.7136972546577454,98.71446455503877,138.31419962849296,105.72121453189696,1.117294824532246,0.7974102489119713,1.0432453017321353,0.5591725244712589,-1.3532262650153426,0.22079399367746558
67,"[1100,2000)","[4.0,4.25)",1,1,93.0,17.83737579388189,75.16262420611811,0.7426062822341919,59.60296599896509,80.2618661124771,63.86368538841751,1.2610550992952798,0.9364674389801375,1.1769227495873549,0.8723064640758361,-0.28587399656108564,0.6334417656646595
68,"[1100,2000)","[4.25,4.5)",1,1,44.0,20.0113172395596,23.9886827604404,0.8714531660079956,22.980867380836514,26.370742889269238,23.44335360370655,1.0438545405141797,0.9096703441829035,1.0232615676900265,0.050362270885975245,-0.11903564869382181,0.02725103751070467
69,"[1100,2000)","[4.5,4.75)",1,1,46.0,18.928737590024877,27.071262409975123,0.7991706728935242,4.545350931533239,5.687584749670649,5.031199711141823,5.955813493336462,4.7597114770980316,5.380677366081209,1.1900377070213417,1.1296938086126413,1.1643704496409755
70,"[1100,2000)","[4.75,5.0)",0,0,70.0,73.35528583026175,-3.3552858302617494,0.7129790186882019,0.5729024814963461,0.8035334371415582,0.7483134380740107,-5.8566439117145785,-4.175664228980492,-4.4837973762672165,-0.053550173887231635,-0.05669420029289344,-0.055941425650377255
71,"[1100,2000)","[5,6)",0,0,30.0,37.927530703085665,-7.927530703085665,0.7129790186882019,0.07793783906735312,0.1093129489430834,0.08517298162494776,-101.71607011370652,-72.52142385449082,-93.07565089119338,-0.211072758857505,-0.21189999725911227,-0.21126352114609784
72,"[1100,2000)",>=6,0,0,0.0,0.0,0.0,0.7129790186882019,4.0513516591230415e-05,5.6822873505829876e-05,0.0,0.0,0.0,,,,
73,"[2000,3000)","[2,2.5)",0,0,0.0,0.0,0.0,0.7129790186882019,0.0,0.0,0.0,,,,,,
74,"[2000,3000)","[2.5,3)",0,0,0.0,0.0,0.0,0.7129790186882019,0.0,0.0,0.0,,,,,,
75,"[2000,3000)","[3,3.25)",0,0,0.0,0.0,0.0,0.7129790186882019,0.0,0.0,0.0,,,,,,
76,"[2000,3000)","[3.25,3.5)",0,0,0.0,0.0,0.0,0.7129790186882019,0.0,0.0,0.0,,,,,,
77,"[2000,3000)","[3.5,3.75)",0,0,0.0,0.0,0.0,0.7129790186882019,0.027944462241468522,0.03919394752019922,0.03919394752019922,0.0,0.0,0.0,,,
78,"[2000,3000)","[3.75,4.0)",0,0,1.0,0.0,1.0,0.7129790186882019,0.5453601639963765,0.7649035240893561,0.7649035240893561,1.8336506148011282,1.3073544159579265,1.3073544159579265,,,
79,"[2000,3000)","[4.0,4.25)",0,0,8.0,10.223774635941428,-2.223774635941428,0.7129790186882019,3.049835739389473,4.2775953561730535,4.2775953561730535,-0.7291457068394743,-0.5198655905431238,-0.5198655905431238,-0.5158183315965958,-0.6359070131748674,-0.6359070131748674
80,"[2000,3000)","[4.25,4.5)",0,0,31.0,29.167746634115034,1.8322533658849665,0.7129790186882019,4.604074827641775,6.4575179731273655,6.4575179731273655,0.39796342033464593,0.28373956890399626,0.28373956890399626,-0.09503035995639256,-0.1585746292047333,-0.1585746292047333
81,"[2000,3000)","[4.5,4.75)",1,1,6.0,1.8890073367277047,4.110992663272295,0.7595100998878479,5.247519449693704,6.909084488104336,5.448473220750535,0.783416374666749,0.5950126489769182,0.7545219544469011,-0.6016529233762505,-1.481249845053078,-0.708033543053959
82,"[2000,3000)","[4.75,5.0)",1,1,11.0,6.792576891202502,4.207423108797498,0.8102084398269653,2.608417826008652,3.219440452343013,2.696740356967508,1.6130173114311257,1.3068802393084986,1.560188431907014,0.23540481151708698,0.14545034561685768,0.22240200972720245
83,"[2000,3000)","[5,6)",1,1,21.0,12.864504552004535,8.135495447995465,0.7039083242416382,0.9300025648497153,1.3211984186316617,0.966610214931947,8.74782044209752,6.157663628163613,8.416521284712717,0.5601065205440031,0.5296975877941609,0.5572608882124783
84,"[2000,3000)",>=6,0,0,0.0,0.4062078938246122,-0.4062078938246122,0.7129790186882019,0.0,0.0,0.0,,,,-1.0,-1.0,
