cell_id,cell_index,nhit_bin,predE_bin,input_files,input_dir,events,truth_range_events,sumw_total
57,56,"[800,1100)","[4.5,4.75)",1212,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_4p5_4p75,1287,1279,136087.8495054245
58,57,"[800,1100)","[4.75,5.0)",1373,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_4p75_5p0,1482,1479,87769.87299156189
59,58,"[800,1100)","[5,6)",5467,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_5_6,8235,8083,149211.168967247
60,59,"[800,1100)",>=6,71,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_ge_6,71,67,438.85958194732666
61,60,"[1100,2000)","[2,2.5)",0,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_2_2p5,0,0,0.0
62,61,"[1100,2000)","[2.5,3)",0,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_2p5_3,0,0,0.0
63,62,"[1100,2000)","[3,3.25)",16,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_3_3p25,16,16,5396.165740966797
64,63,"[1100,2000)","[3.25,3.5)",1453,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_3p25_3p5,1565,1565,504982.03146362305
65,64,"[1100,2000)","[3.5,3.75)",6624,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_3p5_3p75,10960,10959,3406098.383049011
66,65,"[1100,2000)","[3.75,4.0)",9047,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_3p75_4p0,23726,23680,6009177.353107452
67,66,"[1100,2000)","[4.0,4.25)",9053,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_4p0_4p25,23998,23910,4812667.200799942
68,67,"[1100,2000)","[4.25,4.5)",7320,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_4p25_4p5,13380,13311,2275550.017097473
69,68,"[1100,2000)","[4.5,4.75)",4265,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_4p5_4p75,5650,5582,729099.690158844
70,69,"[1100,2000)","[4.75,5.0)",1484,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_4p75_5p0,1641,1625,144433.02258872986
71,70,"[1100,2000)","[5,6)",859,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_5_6,910,878,23649.683462142944
72,71,"[1100,2000)",>=6,4,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_1100_2000/predE_ge_6,4,4,24.724483489990234
73,72,"[2000,3000)","[2,2.5)",0,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_2_2p5,0,0,0.0
74,73,"[2000,3000)","[2.5,3)",0,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_2p5_3,0,0,0.0
75,74,"[2000,3000)","[3,3.25)",0,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_3_3p25,0,0,0.0
76,75,"[2000,3000)","[3.25,3.5)",0,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_3p25_3p5,0,0,0.0
77,76,"[2000,3000)","[3.5,3.75)",4,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_3p5_3p75,4,4,740.2216796875
78,77,"[2000,3000)","[3.75,4.0)",154,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_3p75_4p0,156,156,28249.64640045166
79,78,"[2000,3000)","[4.0,4.25)",1105,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_4p0_4p25,1175,1175,202709.4412689209
80,79,"[2000,3000)","[4.25,4.5)",2660,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_4p25_4p5,3127,3127,401309.9766654968
81,80,"[2000,3000)","[4.5,4.75)",4207,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_4p5_4p75,5515,5515,538360.1327123642
82,81,"[2000,3000)","[4.75,5.0)",4045,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_4p75_5p0,5332,5331,374267.7941608429
83,82,"[2000,3000)","[5,6)",5026,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_5_6,7233,7185,248248.8919725418
84,83,"[2000,3000)",>=6,0,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_2000_3000/predE_ge_6,0,0,0.0
