logE_true_lo,logE_true_hi,theta_true_deg_lo,theta_true_deg_hi,denominator_count,denominator_sumw
2.8,2.9,39.0,40.0,2689561,1204337695.134552
2.8,2.9,40.0,41.0,2715285,1215856445.91568
2.8,2.9,41.0,42.0,2721983,1218855691.4736023
2.8,2.9,42.0,43.0,2719944,1217942663.451416
2.8,2.9,43.0,44.0,2732130,1223399338.0361938
2.8,2.9,44.0,45.0,2740650,1227214442.866516
2.8,2.9,45.0,46.0,2733994,1224234004.163391
2.8,2.9,46.0,47.0,2741840,1227747303.7524414
2.8,2.9,47.0,48.0,2735977,1225121956.379181
2.8,2.9,48.0,49.0,2719820,1217887138.451538
2.8,2.9,49.0,50.0,2698860,1208501622.3431396
2.9,3.0,0.0,1.0,32950,14754425.370788574
2.9,3.0,1.0,2.0,97909,43841913.00845337
2.9,3.0,2.0,3.0,164950,73861683.30535889
2.9,3.0,3.0,4.0,227811,102009723.76766968
2.9,3.0,4.0,5.0,294281,131773810.39578247
2.9,3.0,5.0,6.0,355231,159066138.96481323
2.9,3.0,6.0,7.0,422502,189188899.18084717
2.9,3.0,7.0,8.0,490820,219780487.42004395
2.9,3.0,8.0,9.0,554040,248089281.71264648
2.9,3.0,9.0,10.0,615309,275524452.8216858
2.9,3.0,10.0,11.0,671048,300483388.04907227
2.9,3.0,11.0,12.0,732381,327947217.2225647
2.9,3.0,12.0,13.0,800640,358512386.30859375
2.9,3.0,13.0,14.0,858233,384301509.8406067
2.9,3.0,14.0,15.0,920059,411986095.6668396
2.9,3.0,15.0,16.0,971479,435011059.3258972
2.9,3.0,16.0,17.0,1031826,462033375.1939087
2.9,3.0,17.0,18.0,1076744,482146858.61743164
2.9,3.0,18.0,19.0,1138161,509648301.5005188
2.9,3.0,19.0,20.0,1187599,531785760.7260437
2.9,3.0,20.0,21.0,1233876,552507780.2369385
2.9,3.0,21.0,22.0,1283482,574720466.8816528
2.9,3.0,22.0,23.0,1334079,597376905.7431335
2.9,3.0,23.0,24.0,1379249,617603230.2954407
2.9,3.0,24.0,25.0,1422512,636975634.0834961
2.9,3.0,25.0,26.0,1468181,657425401.9820862
2.9,3.0,26.0,27.0,1503842,673393765.0518188
2.9,3.0,27.0,28.0,1546930,692687806.9448853
2.9,3.0,28.0,29.0,1586421,710371176.0592346
2.9,3.0,29.0,30.0,1621849,726235205.8630676
2.9,3.0,30.0,31.0,1647430,737689923.7814331
2.9,3.0,31.0,32.0,1682443,753368123.9485779
2.9,3.0,32.0,33.0,1709000,765259877.3498535
2.9,3.0,33.0,34.0,1740611,779414722.2784119
2.9,3.0,34.0,35.0,1766888,791181096.6477051
2.9,3.0,35.0,36.0,1781131,797558859.3352966
2.9,3.0,36.0,37.0,1790651,801821746.422699
2.9,3.0,37.0,38.0,1824361,816916486.3088684
2.9,3.0,38.0,39.0,1835461,821886869.3624573
2.9,3.0,39.0,40.0,1851250,828956903.4194946
2.9,3.0,40.0,41.0,1861400,833501893.3288574
2.9,3.0,41.0,42.0,1877128,840544612.6682129
