source_file_id,status,yyyymm,relative_path,obs_path,time_path,event_entries,time_entries,common_entries,entry_mismatch,selected_rows,parquet_relative_path,matched_mjd_min,matched_mjd_max,matched_mjd_start_utc_yyyymm,matched_mjd_end_utc_yyyymm,matched_span_seconds,matched_gap_count,matched_gap_seconds,rough_live_time_seconds,selected_mjd_min,selected_mjd_max
777,processed,202202,0206/Esg20220206_07.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_07.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_07.time.root,27827,27827,27827,False,18637,obs_events/yyyymm=202202/part-000777.parquet,59615.9584875,59615.9998306,202202,202202,3572.03996109,7,578.125759936,2993.91420116,59615.9584875,59615.9998306
778,processed,202202,0206/Esg20220206_08.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_08.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_08.time.root,24558,24558,24558,False,16126,obs_events/yyyymm=202202/part-000778.parquet,59616.000301,59616.041267,202202,202202,3539.45957178,7,581.559538585,2957.90003319,59616.000301,59616.041267
779,processed,202202,0206/Esg20220206_09.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_09.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_09.time.root,25249,25249,25249,False,16669,obs_events/yyyymm=202202/part-000779.parquet,59616.0417439,59616.0828088,202202,202202,3548.00706112,2,166.580576543,3381.42648458,59616.0417439,59616.0828088
780,processed,202202,0206/Esg20220206_10.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_10.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_10.time.root,25231,25231,25231,False,16766,obs_events/yyyymm=202202/part-000780.parquet,59616.0832905,59616.1248433,202202,202202,3590.16033718,4,332.667825068,3257.49251212,59616.0832905,59616.1248433
781,processed,202202,0206/Esg20220206_11.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_11.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_11.time.root,18265,18265,18265,False,12193,obs_events/yyyymm=202202/part-000781.parquet,59616.1253168,59616.1580542,202202,202202,2828.50725094,8,829.541307455,1998.96594349,59616.1253168,59616.1580542
782,processed,202202,0206/Esg20220206_14.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_14.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_14.time.root,14517,14517,14517,False,9683,obs_events/yyyymm=202202/part-000782.parquet,59616.2680507,59616.2912587,202202,202202,2005.17047443,3,244.262305414,1760.90816902,59616.2680507,59616.2912587
783,processed,202202,0206/Esg20220206_15.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_15.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_15.time.root,25835,25835,25835,False,17133,obs_events/yyyymm=202202/part-000783.parquet,59616.2916954,59616.3332744,202202,202202,3592.42579148,5,406.898976071,3185.52681541,59616.2916954,59616.3332744
784,processed,202202,0206/Esg20220206_16.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_16.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_16.time.root,25633,25633,25633,False,16964,obs_events/yyyymm=202202/part-000784.parquet,59616.3332941,59616.3748734,202202,202202,3592.44706475,7,569.408152951,3023.0389118,59616.3332941,59616.3748734
785,processed,202202,0206/Esg20220206_17.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_17.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_17.time.root,26504,26504,26504,False,17437,obs_events/yyyymm=202202/part-000785.parquet,59616.3753134,59616.4165388,202202,202202,3561.87162269,3,244.401034294,3317.4705884,59616.3753134,59616.4165388
786,processed,202202,0206/Esg20220206_18.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_18.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_18.time.root,37157,37157,37157,False,24761,obs_events/yyyymm=202202/part-000786.parquet,59616.4169803,59616.4579856,202202,202202,3542.85155637,3,245.388211473,3297.4633449,59616.4169803,59616.4579856
