scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
month,202202,,49,"[800,1100)","[4.0,4.25)",11680
month,202202,,50,"[800,1100)","[4.25,4.5)",2746
month,202202,,51,"[800,1100)","[4.5,4.75)",486
month,202202,,52,"[800,1100)","[4.75,5.0)",75
month,202202,,53,"[800,1100)",>=5,21
month,202202,,54,"[1100,2000)","[3.5,3.75)",10348
month,202202,,55,"[1100,2000)","[3.75,4.0)",24747
month,202202,,56,"[1100,2000)","[4.0,4.25)",22650
month,202202,,57,"[1100,2000)","[4.25,4.5)",12446
month,202202,,58,"[1100,2000)","[4.5,4.75)",5080
month,202202,,59,"[1100,2000)","[4.75,5.0)",1942
month,202202,,60,"[1100,2000)",>=5,790
month,202202,,61,"[2000,3000)","[4.0,4.25)",160
month,202202,,62,"[2000,3000)","[4.25,4.5)",711
month,202202,,63,"[2000,3000)","[4.5,4.75)",2614
month,202202,,64,"[2000,3000)","[4.75,5.0)",5336
month,202202,,65,"[2000,3000)",>=5,10095
file,202201,0,1,"[30,60)","[2,3)",65843
file,202201,0,2,"[60,100)","[2,3)",55598
file,202201,0,3,"[60,100)","[3,3.25)",2176
file,202201,0,4,"[60,100)","[3.25,3.5)",1114
file,202201,0,5,"[60,100)","[3.5,3.75)",565
file,202201,0,6,"[60,100)","[3.75,4.0)",293
file,202201,0,7,"[100,200)","[2,3)",49040
file,202201,0,8,"[100,200)","[3,3.25)",3140
file,202201,0,9,"[100,200)","[3.25,3.5)",1364
file,202201,0,10,"[100,200)","[3.5,3.75)",773
file,202201,0,11,"[100,200)","[3.75,4.0)",328
file,202201,0,12,"[100,200)","[4.0,4.25)",130
file,202201,0,13,"[100,200)","[4.25,4.5)",79
file,202201,0,14,"[100,200)","[4.5,4.75)",22
file,202201,0,15,"[100,200)","[4.75,5.0)",13
file,202201,0,16,"[100,200)",>=5,22
file,202201,0,17,"[200,300)","[2,3)",8194
file,202201,0,18,"[200,300)","[3,3.25)",1972
file,202201,0,19,"[200,300)","[3.25,3.5)",564
file,202201,0,20,"[200,300)","[3.5,3.75)",293
file,202201,0,21,"[200,300)","[3.75,4.0)",165
file,202201,0,22,"[200,300)","[4.0,4.25)",64
file,202201,0,23,"[200,300)","[4.25,4.5)",21
file,202201,0,24,"[200,300)","[4.5,4.75)",10
file,202201,0,25,"[200,300)","[4.75,5.0)",5
file,202201,0,26,"[200,300)",>=5,1
file,202201,0,27,"[300,500)","[2,3)",1893
file,202201,0,28,"[300,500)","[3,3.25)",2339
file,202201,0,29,"[300,500)","[3.25,3.5)",861
file,202201,0,30,"[300,500)","[3.5,3.75)",166
file,202201,0,31,"[300,500)","[3.75,4.0)",102
file,202201,0,32,"[300,500)","[4.0,4.25)",61
file,202201,0,33,"[300,500)","[4.25,4.5)",20
file,202201,0,34,"[300,500)","[4.5,4.75)",6
file,202201,0,35,"[300,500)","[4.75,5.0)",2
file,202201,0,36,"[300,500)",>=5,1
file,202201,0,37,"[500,800)","[3,3.25)",528
file,202201,0,38,"[500,800)","[3.25,3.5)",948
file,202201,0,39,"[500,800)","[3.5,3.75)",267
file,202201,0,40,"[500,800)","[3.75,4.0)",36
file,202201,0,41,"[500,800)","[4.0,4.25)",16
file,202201,0,42,"[500,800)","[4.25,4.5)",7
file,202201,0,43,"[500,800)","[4.5,4.75)",2
file,202201,0,44,"[500,800)","[4.75,5.0)",0
file,202201,0,45,"[500,800)",>=5,0
file,202201,0,46,"[800,1100)","[3.25,3.5)",146
file,202201,0,47,"[800,1100)","[3.5,3.75)",228
file,202201,0,48,"[800,1100)","[3.75,4.0)",103
file,202201,0,49,"[800,1100)","[4.0,4.25)",12
file,202201,0,50,"[800,1100)","[4.25,4.5)",5
file,202201,0,51,"[800,1100)","[4.5,4.75)",0
file,202201,0,52,"[800,1100)","[4.75,5.0)",1
file,202201,0,53,"[800,1100)",>=5,0
file,202201,0,54,"[1100,2000)","[3.5,3.75)",63
file,202201,0,55,"[1100,2000)","[3.75,4.0)",116
file,202201,0,56,"[1100,2000)","[4.0,4.25)",76
