scope,yyyymm,source_file_id,step,count
file,202201,47,after_pincness,143465
file,202201,47,after_fitstat,143465
file,202201,47,after_theta,143465
file,202201,47,after_dcedge,102654
file,202201,47,after_finite,102654
file,202201,47,after_cell_selection,97442
file,202201,48,input_entries,84970
file,202201,48,after_match_status,84970
file,202201,48,after_pincness,84970
file,202201,48,after_fitstat,84970
file,202201,48,after_theta,84970
file,202201,48,after_dcedge,60667
file,202201,48,after_finite,60667
file,202201,48,after_cell_selection,58504
file,202201,49,input_entries,95501
file,202201,49,after_match_status,95501
file,202201,49,after_pincness,95501
file,202201,49,after_fitstat,95501
file,202201,49,after_theta,95501
file,202201,49,after_dcedge,67875
file,202201,49,after_finite,67875
file,202201,49,after_cell_selection,65278
file,202201,50,input_entries,184713
file,202201,50,after_match_status,184713
file,202201,50,after_pincness,184713
file,202201,50,after_fitstat,184713
file,202201,50,after_theta,184713
file,202201,50,after_dcedge,131923
file,202201,50,after_finite,131923
file,202201,50,after_cell_selection,122809
file,202201,51,input_entries,289084
file,202201,51,after_match_status,289084
file,202201,51,after_pincness,289084
file,202201,51,after_fitstat,289084
file,202201,51,after_theta,289084
file,202201,51,after_dcedge,206286
file,202201,51,after_finite,206286
file,202201,51,after_cell_selection,183353
file,202201,52,input_entries,202118
file,202201,52,after_match_status,202118
file,202201,52,after_pincness,202118
file,202201,52,after_fitstat,202118
file,202201,52,after_theta,202118
file,202201,52,after_dcedge,144040
file,202201,52,after_finite,144040
file,202201,52,after_cell_selection,133471
file,202201,53,input_entries,97703
file,202201,53,after_match_status,97703
file,202201,53,after_pincness,97703
file,202201,53,after_fitstat,97703
file,202201,53,after_theta,97703
file,202201,53,after_dcedge,69234
file,202201,53,after_finite,69234
file,202201,53,after_cell_selection,66586
file,202201,54,input_entries,49808
file,202201,54,after_match_status,49808
file,202201,54,after_pincness,49808
file,202201,54,after_fitstat,49808
file,202201,54,after_theta,49808
file,202201,54,after_dcedge,35542
file,202201,54,after_finite,35542
file,202201,54,after_cell_selection,33915
file,202201,55,input_entries,27906
file,202201,55,after_match_status,27906
file,202201,55,after_pincness,27906
file,202201,55,after_fitstat,27906
file,202201,55,after_theta,27906
file,202201,55,after_dcedge,20036
file,202201,55,after_finite,20036
file,202201,55,after_cell_selection,18725
file,202201,56,input_entries,23550
file,202201,56,after_match_status,23550
file,202201,56,after_pincness,23550
file,202201,56,after_fitstat,23550
file,202201,56,after_theta,23550
file,202201,56,after_dcedge,16981
file,202201,56,after_finite,16981
file,202201,56,after_cell_selection,15735
file,202201,57,input_entries,23641
file,202201,57,after_match_status,23641
file,202201,57,after_pincness,23641
file,202201,57,after_fitstat,23641
file,202201,57,after_theta,23641
file,202201,57,after_dcedge,16918
file,202201,57,after_finite,16918
file,202201,57,after_cell_selection,15784
file,202201,58,input_entries,23071
file,202201,58,after_match_status,23071
file,202201,58,after_pincness,23071
file,202201,58,after_fitstat,23071
file,202201,58,after_theta,23071
file,202201,58,after_dcedge,16423
file,202201,58,after_finite,16423
file,202201,58,after_cell_selection,15313
file,202201,59,input_entries,22696
file,202201,59,after_match_status,22696
file,202201,59,after_pincness,22696
file,202201,59,after_fitstat,22696
file,202201,59,after_theta,22696
file,202201,59,after_dcedge,16262
file,202201,59,after_finite,16262
file,202201,59,after_cell_selection,15242
file,202201,60,input_entries,8203
file,202201,60,after_match_status,8203
file,202201,60,after_pincness,8203
file,202201,60,after_fitstat,8203
file,202201,60,after_theta,8203
file,202201,60,after_dcedge,5837
file,202201,60,after_finite,5837
file,202201,60,after_cell_selection,5402
file,202201,61,input_entries,23745
file,202201,61,after_match_status,23745
file,202201,61,after_pincness,23745
file,202201,61,after_fitstat,23745
file,202201,61,after_theta,23745
file,202201,61,after_dcedge,16910
file,202201,61,after_finite,16910
file,202201,61,after_cell_selection,15731
file,202201,62,input_entries,24328
file,202201,62,after_match_status,24328
file,202201,62,after_pincness,24328
file,202201,62,after_fitstat,24328
file,202201,62,after_theta,24328
file,202201,62,after_dcedge,17427
file,202201,62,after_finite,17427
file,202201,62,after_cell_selection,16246
file,202201,63,input_entries,24204
file,202201,63,after_match_status,24204
file,202201,63,after_pincness,24204
file,202201,63,after_fitstat,24204
file,202201,63,after_theta,24204
file,202201,63,after_dcedge,17257
file,202201,63,after_finite,17257
file,202201,63,after_cell_selection,16056
file,202201,64,input_entries,30170
file,202201,64,after_match_status,30170
file,202201,64,after_pincness,30170
file,202201,64,after_fitstat,30170
file,202201,64,after_theta,30170
file,202201,64,after_dcedge,21535
file,202201,64,after_finite,21535
file,202201,64,after_cell_selection,20223
file,202201,65,input_entries,58955
file,202201,65,after_match_status,58955
file,202201,65,after_pincness,58955
file,202201,65,after_fitstat,58955
file,202201,65,after_theta,58955
file,202201,65,after_dcedge,41676
file,202201,65,after_finite,41676
file,202201,65,after_cell_selection,39826
file,202201,66,input_entries,135033
file,202201,66,after_match_status,135033
file,202201,66,after_pincness,135033
file,202201,66,after_fitstat,135033
file,202201,66,after_theta,135033
file,202201,66,after_dcedge,96027
file,202201,66,after_finite,96027
file,202201,66,after_cell_selection,90927
file,202201,67,input_entries,306804
file,202201,67,after_match_status,306804
file,202201,67,after_pincness,306804
file,202201,67,after_fitstat,306804
file,202201,67,after_theta,306804
file,202201,67,after_dcedge,220225
file,202201,67,after_finite,220225
file,202201,67,after_cell_selection,194467
file,202201,68,input_entries,296297
file,202201,68,after_match_status,296297
file,202201,68,after_pincness,296297
file,202201,68,after_fitstat,296297
file,202201,68,after_theta,296297
file,202201,68,after_dcedge,213046
file,202201,68,after_finite,213046
file,202201,68,after_cell_selection,188377
file,202201,69,input_entries,139533
file,202201,69,after_match_status,139533
file,202201,69,after_pincness,139533
file,202201,69,after_fitstat,139533
file,202201,69,after_theta,139533
file,202201,69,after_dcedge,99588
file,202201,69,after_finite,99588
file,202201,69,after_cell_selection,94723
file,202201,70,input_entries,87740
file,202201,70,after_match_status,87740
file,202201,70,after_pincness,87740
file,202201,70,after_fitstat,87740
file,202201,70,after_theta,87740
file,202201,70,after_dcedge,62373
file,202201,70,after_finite,62373
file,202201,70,after_cell_selection,60013
file,202201,71,input_entries,103121
file,202201,71,after_match_status,103121
file,202201,71,after_pincness,103121
file,202201,71,after_fitstat,103121
file,202201,71,after_theta,103121
file,202201,71,after_dcedge,73467
file,202201,71,after_finite,73467
file,202201,71,after_cell_selection,70622
file,202201,72,input_entries,196570
file,202201,72,after_match_status,196570
file,202201,72,after_pincness,196570
file,202201,72,after_fitstat,196570
file,202201,72,after_theta,196570
file,202201,72,after_dcedge,139789
file,202201,72,after_finite,139789
file,202201,72,after_cell_selection,129912
file,202201,73,input_entries,297575
file,202201,73,after_match_status,297575
file,202201,73,after_pincness,297575
file,202201,73,after_fitstat,297575
file,202201,73,after_theta,297575
file,202201,73,after_dcedge,211998
file,202201,73,after_finite,211998
file,202201,73,after_cell_selection,189468
file,202201,74,input_entries,198859
file,202201,74,after_match_status,198859
file,202201,74,after_pincness,198859
file,202201,74,after_fitstat,198859
file,202201,74,after_theta,198859
file,202201,74,after_dcedge,141766
file,202201,74,after_finite,141766
file,202201,74,after_cell_selection,131767
file,202201,75,input_entries,95639
file,202201,75,after_match_status,95639
file,202201,75,after_pincness,95639
file,202201,75,after_fitstat,95639
file,202201,75,after_theta,95639
file,202201,75,after_dcedge,67905
file,202201,75,after_finite,67905
file,202201,75,after_cell_selection,65018
file,202201,76,input_entries,49736
file,202201,76,after_match_status,49736
file,202201,76,after_pincness,49736
file,202201,76,after_fitstat,49736
file,202201,76,after_theta,49736
file,202201,76,after_dcedge,35491
file,202201,76,after_finite,35491
file,202201,76,after_cell_selection,33805
file,202201,77,input_entries,28847
file,202201,77,after_match_status,28847
file,202201,77,after_pincness,28847
file,202201,77,after_fitstat,28847
file,202201,77,after_theta,28847
file,202201,77,after_dcedge,20701
file,202201,77,after_finite,20701
file,202201,77,after_cell_selection,19354
file,202201,78,input_entries,24479
file,202201,78,after_match_status,24479
file,202201,78,after_pincness,24479
file,202201,78,after_fitstat,24479
file,202201,78,after_theta,24479
file,202201,78,after_dcedge,17484
file,202201,78,after_finite,17484
file,202201,78,after_cell_selection,16244
file,202201,79,input_entries,25151
file,202201,79,after_match_status,25151
file,202201,79,after_pincness,25151
file,202201,79,after_fitstat,25151
file,202201,79,after_theta,25151
file,202201,79,after_dcedge,17957
file,202201,79,after_finite,17957
file,202201,79,after_cell_selection,16678
file,202201,80,input_entries,24669
file,202201,80,after_match_status,24669
file,202201,80,after_pincness,24669
file,202201,80,after_fitstat,24669
file,202201,80,after_theta,24669
file,202201,80,after_dcedge,17523
file,202201,80,after_finite,17523
file,202201,80,after_cell_selection,16309
file,202201,81,input_entries,22638
file,202201,81,after_match_status,22638
file,202201,81,after_pincness,22638
file,202201,81,after_fitstat,22638
file,202201,81,after_theta,22638
file,202201,81,after_dcedge,16131
file,202201,81,after_finite,16131
file,202201,81,after_cell_selection,15013
file,202201,82,input_entries,10234
file,202201,82,after_match_status,10234
