cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
29,"[300,500)","[3.5,3.75)",313446,94566,218880,4775,0.06980892092220874,43.47639258630079,0.0,0.08344407174585455,0.6477468013763428,0.4099663496017456,0.7223257422447205,610.0835700288637,,,0.0,124,3760,22732.0,68401,25198,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4416.149962284471,3754,23.364489178585554,1.2168450043422174
30,"[300,500)","[3.75,4.0)",133652,38954,94698,3257,0.11767468747741888,43.47639258630079,0.0,0.035580186306339696,0.9900724291801453,0.6266281008720398,0.6642460227012634,536.9471529856024,,,0.0,308,4400,10983.0,27678,10363,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,4075.8757365500296,4394,34.23704505870149,1.354458311572574
31,"[300,500)","[4.0,4.25)",52626,15587,37039,2089,0.19570919992505154,43.47639258630079,0.0,0.014009838121071387,1.2538275718688965,0.7935617566108704,0.6733294129371643,406.91601937599114,,,0.0,492,5032,4911.0,10674,4151,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,2600.6749411081546,5026,48.045965409014244,1.0094510966123844
32,"[300,500)","[4.25,4.5)",20712,6069,14643,1101,0.27628607277289835,43.47639258630079,0.0,0.005513848044001645,1.4458905458450317,0.9151206016540527,0.6463560461997986,222.44199632697683,,,0.0,648,5648,1873.0,3985,1620,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,1421.7904739404012,5642,65.54307909493257,0.5909553592828007
33,"[300,500)","[4.5,4.75)",8442,2326,6116,525,0.36382536382536385,43.47639258630079,0.0,0.0022473882380968464,1.646765112876892,1.0422563552856445,0.6165552139282227,120.89331216301878,,,0.0,848,5648,681.0,1443,642,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,605.8536066568843,5642,65.47849361366556,0.34534914690413215
34,"[300,500)","[4.75,5.0)",3006,798,2208,217,0.4758771929824561,43.47639258630079,0.0,0.0008002427201752098,1.8282259702682495,1.1571050882339478,0.5390918254852295,46.962567108077366,,,0.0,1044,6280,207.0,456,244,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,200.41114288011565,6274,87.06957576552699,0.18460540952522464
35,"[300,500)","[5,6)",1579,381,1198,108,0.5320197044334976,43.47639258630079,0.0,0.0004203537109636248,2.085508346557617,1.3199419975280762,0.3362881541252136,54.30968478794906,,,0.0,1372,4928,77.0,203,129,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,75.6812947722243,4922,127.17686181055885,0.12392499987901169
36,"[300,500)",>=6,0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
37,"[500,800)","[2,2.5)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
38,"[500,800)","[2.5,3)",4294,1789,2505,385,0.2886056971514243,43.47639258630079,0.0,0.0011431278244951265,1.5800000429153442,1.0,0.7129790186882019,88.21458814416711,,,0.0,788,5648,672.0,1334,452,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,597.1309910368279,5642,65.45833679753282,0.34510661193558023
39,"[500,800)","[3,3.25)",166432,68794,97638,14936,0.29158776330945085,43.47639258630079,0.0,0.04430671869733883,1.5800000429153442,1.0,0.7129790186882019,2586.993289517338,,,0.0,788,5648,25212.0,51223,17411,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,6703.265925132611,5642,65.51216194805704,1.3084028717001865
40,"[500,800)","[3.25,3.5)",477133,186586,290547,9998,0.0729844949922621,43.47639258630079,0.0,0.1270200298753687,0.3107539117336273,0.19667969644069672,0.590565025806427,360.0880298770054,,,0.0,32,3760,45072.0,136988,49035,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4178.188448750292,3754,23.470575565959738,1.1014548361387209
