cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
38,"[500,800)","[2.5,3)",2223,912,1311,200,0.29895366218236175,43.47639258630079,0.0,0.0005917962631235833,1.5800000429153442,1.0,0.7129790186882019,48.51926037278504,,,0.0,788,5648,334.0,669,240,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,313.590725597278,5642,65.48277262832353,0.24050909870146503
39,"[500,800)","[3,3.25)",85098,34432,50666,7414,0.28958675103507536,43.47639258630079,0.0,0.02265437624799401,1.5800000429153442,1.0,0.7129790186882019,1160.9583443575327,,,0.0,788,5648,12612.0,25602,8749,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,4977.964519750641,5642,65.42668445782323,1.3533801211720053
40,"[500,800)","[3.25,3.5)",242879,93696,149183,5027,0.07322757796908913,43.47639258630079,0.0,0.06465806774232694,0.3107539117336273,0.19667969644069672,0.590565025806427,151.7161205458786,,,0.0,32,3760,22485.0,68649,24767,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4873.533968758512,3754,23.380406428737164,1.2811922872673511
41,"[500,800)","[3.5,3.75)",141800,48676,93124,2477,0.07008658253635901,43.47639258630079,0.0,0.03774930729236352,0.32525408267974854,0.2058570235967636,0.7030451893806458,68.06017093881418,,,0.0,32,3760,11566.0,35342,13130,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3890.516072697823,3754,23.414480852601304,1.3573109913762236
42,"[500,800)","[3.75,4.0)",45592,13264,32328,665,0.06927804979685384,43.47639258630079,0.0,0.01213728080446712,0.5331345796585083,0.33742696046829224,0.7524763941764832,60.59883184143352,,,0.0,88,3760,3309.0,9599,3579,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,1832.0346019962708,3754,23.36168220217937,0.9612774319342523
43,"[500,800)","[4.0,4.25)",13430,3607,9823,314,0.11961904761904762,43.47639258630079,0.0,0.003575269371907208,0.974081814289093,0.6165074706077576,0.6689862012863159,61.348469357074336,,,0.0,300,4400,1035.0,2625,933,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,839.7714923974793,4394,34.078873414192465,0.48713497345411966
44,"[500,800)","[4.25,4.5)",3302,1014,2288,112,0.16208393632416787,43.47639258630079,0.0,0.0008790424025344454,1.18329656124115,0.7489218711853027,0.6910998225212097,35.69072923708097,,,0.0,440,5032,329.0,691,271,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,308.67986175763554,5026,47.82278719663209,0.25582266031735074
45,"[500,800)","[4.5,4.75)",1290,385,905,73,0.28627450980392155,43.47639258630079,0.0,0.0003434175346061279,1.3993562459945679,0.8856685161590576,0.6936807632446289,19.95583312683373,,,0.0,616,5032,111.0,255,100,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,108.53275653180366,5026,47.80620450750902,0.15078366075282357
46,"[500,800)","[4.75,5.0)",537,171,366,35,0.330188679245283,43.47639258630079,0.0,0.0001429575318476672,1.5490642786026,0.9804204106330872,0.6524077653884888,9.203386974353549,,,0.0,740,5648,49.0,106,51,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,48.507009078655464,5642,65.46315528356043,0.09267335898610567
47,"[500,800)","[5,6)",288,82,206,17,0.4146341463414634,43.47639258630079,0.0,7.666996121439135e-05,1.8611623048782349,1.1779508590698242,0.5099676847457886,3.775691656092162,,,0.0,1092,6280,20.0,41,26,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,19.9153455368534,6274,87.07609750157623,0.05631334467119724
