cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning,psf_quality_flag,warnings
41,"[500,800)","[4.0,4.25)",6502,10601,10511,10475,10348,2444997.9067602158,2826.152076636005,10189,3015.7989999950164,0.9171149433741005,0.08288505662589951,0.0,0.6165074675735863,0.34755619264465476,0.359988993867482,7.950455370644786,0.9740817987662665,0.6689861993630476,0.99646469543729,2.145842347251235,31.47564900322744,False,False,ok,[]
42,"[500,800)","[4.25,4.5)",4077,5257,5228,5174,5047,877922.6724357605,2576.8634558362482,4978,2667.3425497389358,0.9637484548908166,0.03625154510918338,0.0,0.7489218593186553,0.6368893699371831,0.6528189732954452,4.54517240354434,1.1832965377234754,0.6910998113082539,1.1676951945089662,1.8311432340194178,2.3375489594843235,False,False,ok,[]
43,"[500,800)","[4.5,4.75)",3990,5154,5136,5127,4988,615911.4206571579,2671.3033772328754,4864,2725.954009405811,0.9482906095154868,0.051709390484513174,0.0,0.8856685436165329,0.8395577324560933,0.8402306810197637,3.384420878512724,1.399356298914122,0.6936807593011836,1.371416944439574,2.3077850884480235,3.050556978044051,False,False,ok,[]
44,"[500,800)","[4.75,5.0)",4136,5397,5395,5365,5220,460710.27721500397,2483.0458022414577,4976,2403.734566980542,0.930868695354653,0.069131304645347,0.0,0.980420393241989,0.9435942755862939,0.9384617009934928,1.3273574699279715,1.549064221322343,0.6524077769981995,1.621307642713998,2.6064234088714655,3.31747473082255,False,False,ok,[]
45,"[500,800)",>=5,9322,28138,28138,27622,27140,661800.4019823076,5907.6293309871135,18264,4507.373767371594,0.7515888682090073,0.24841113179099272,0.0,1.1784233783423554,1.1649590449276668,1.245733769238384,2.004359909055875,1.8619089377809217,0.5087777875866807,2.5717301039777305,4.438794386988138,5.468939906631372,True,False,warning,[]
46,"[800,1100)","[3.25,3.5)",7898,15783,15783,15783,13709,4122931.6943903505,694.4527531825219,13709,694.4527531825219,1.0,0.0,0.2283458170178888,0.16214862947264058,0.15335162389550086,0.15327374697967733,0.16214862947264058,0.2561948345667721,0.697859100281894,0.24894023286960548,0.3381668884123299,0.3691982126533224,False,False,warning,"['theta_support_warning:Cell 46 is missing Crab theta support mass 0.2283, above --theta-missing-mass-fail-threshold=0.1']"
47,"[800,1100)","[3.5,3.75)",9593,32787,32730,32730,30250,9720763.312171731,771.7455751122898,30175,3873.957978438181,0.9394538222811326,0.06054617771886739,0.08309097112775603,0.16596980173729312,0.15708381723868473,0.15709471464658,8.257045357210714,0.26223228674492316,0.6843350091427464,0.2603228533552706,0.4100767685512975,41.10384956506009,False,False,ok,[]
48,"[800,1100)","[3.75,4.0)",8931,22615,22352,22350,21756,6552717.878257752,1898.8057234003923,21454,2280.1230609646113,0.9540501156767416,0.045949884323258416,0.0,0.18793147945922548,0.17063121612648022,0.1718537662425545,6.121877615121737,0.2969317375455763,0.7769456255176317,0.25451466949832424,0.3961110239941508,1.3845353150429196,False,False,ok,[]
49,"[800,1100)","[4.0,4.25)",5879,9020,8912,8901,8827,2025551.7703781128,1581.0003966599822,8726,1703.5514488817696,0.9392550211193151,0.06074497888068486,0.0,0.3253826098095135,0.19774704086422754,0.19949221767910152,6.0349707261594805,0.5141045234990315,0.8465465217478706,0.2947188268918551,1.250949895561966,15.953677559202411,True,False,warning,[]
50,"[800,1100)","[4.25,4.5)",2450,2841,2820,2804,2777,474869.18254852295,346.3034325686149,2749,756.8842398682173,0.8642735991511483,0.13572640084885168,0.0,0.6241736586524682,0.3158322055488418,0.35373391933003634,6.9788745907818885,0.9861943806708998,0.6259237387984802,1.1327656101182275,10.882487607486068,27.356039494536223,False,False,ok,[]
51,"[800,1100)","[4.5,4.75)",1212,1287,1287,1279,1247,135384.8256444931,518.0958438246689,1233,510.8052600765076,0.9752257542091162,0.02477424579088383,0.0,0.7813071691053547,0.652135075964467,0.6896678153121446,3.23728543665546,1.2344653271864603,0.7004962196761307,1.187880579518099,1.9313028875624483,2.235868775757467,False,False,ok,[]
52,"[800,1100)","[4.75,5.0)",1373,1482,1482,1479,1451,87549.98401069641,508.5836817698348,1399,549.2183065152439,0.9105470875376349,0.08945291246236509,0.0,0.9307801516386698,0.8781073906781866,0.8807060563003981,4.1400449606254766,1.4706326395890983,0.6651483888136205,1.5074727864865942,2.825779814437412,4.240031445569408,False,False,ok,[]
53,"[800,1100)",>=5,5500,8306,8306,8150,8045,148072.1564540863,1701.8155505622117,6647,1525.3225792450255,0.8369640579533618,0.16303594204663818,0.0,1.1096628290261048,1.0694761688060772,1.147840101660422,1.7060701337090718,1.7532672698612457,0.5792165782831914,2.1239395847901927,3.745971432742153,4.892486072725438,True,False,warning,[]
54,"[1100,2000)","[3.5,3.75)",6624,10960,10959,10959,9749,2698739.4322986226,663.8158200322778,9749,663.8158200322778,1.0,0.0,0.20758119810876244,0.13538799795433515,0.13404809540788237,0.13387433896543555,0.13538799795433515,0.21391303676784953,0.7078658179561038,0.20638062001652407,0.28508087606594895,0.3237240323765883,False,False,warning,"['theta_support_warning:Cell 54 is missing Crab theta support mass 0.2076, above --theta-missing-mass-fail-threshold=0.1']"
55,"[1100,2000)","[3.75,4.0)",9047,23726,23680,23680,22083,5618031.914395414,994.2424408375106,22037,1235.236506999723,0.9825379264713318,0.017462073528668243,0.06239134320113085,0.13748655442315263,0.13374986451743948,0.13339055914067946,3.6201926855024804,0.21722875598858116,0.7136972272159209,0.20665187711035754,0.31004459471692547,0.3531238173442495,False,False,ok,[]
56,"[1100,2000)","[4.0,4.25)",9053,23998,23913,23910,22865,4772373.0585279465,1111.664936728985,22748,2819.3284467680505,0.9510090099111354,0.04899099008886465,0.0,0.14709159317501042,0.14283578256582227,0.1397822541316011,6.654142958594216,0.23240471721651643,0.7426062698757154,0.2090586247277141,0.33048645618575845,1.422548686509028,False,False,ok,[]
