source_file_id	hour	interval_index	start_mjd	stop_mjd	duration_seconds	time_path
2761	20220507_08	0	59706.022419105924200	59706.041250971771660	1627.073209220544	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_08.time.root
2762	20220507_09	0	59706.041749670410354	59706.070196858869167	2457.837082841434	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_09.time.root
2762	20220507_09	1	59706.071255242801271	59706.082503715064377	971.868003532290	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_09.time.root
2763	20220507_10	0	59706.083027453751129	59706.124244984173856	3561.194628523663	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_10.time.root
2764	20220507_11	0	59706.124761010731163	59706.165970665555506	3560.514176823199	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_11.time.root
2765	20220507_12	0	59706.166504871347570	59706.207629965647357	3553.208147501573	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_12.time.root
2766	20220507_13	0	59706.208145258970035	59706.249578995397314	3579.874827316962	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_13.time.root
2767	20220507_14	0	59706.250086465239292	59706.253817201119091	322.335580014624	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_14.time.root
2767	20220507_14	1	59706.254850367251493	59706.291359514565556	3154.390327935107	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_14.time.root
2768	20220507_15	0	59706.291836928074190	59706.332975810168136	3554.399412916973	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_15.time.root
2769	20220507_16	0	59706.333426057644829	59706.374488436616957	3547.789543191902	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_16.time.root
2770	20220507_17	0	59706.374969585682265	59706.416097567242105	3553.457606770098	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_17.time.root
2771	20220507_18	0	59706.416594565082050	59706.457823260265286	3562.159263831563	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_18.time.root
2772	20220507_19	0	59706.458324656538025	59706.499284816767613	3538.957843836397	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_19.time.root
2773	20220507_20	0	59706.499773728959553	59706.540921408770373	3555.159535654821	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_20.time.root
2774	20220507_21	0	59706.541400348512980	59706.565036890162446	2042.197198513895	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_21.time.root
2774	20220507_21	1	59706.566061243574950	59706.582762673424440	1443.003538995981	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_21.time.root
2775	20220507_22	0	59706.583263572843862	59706.609676275074889	2282.057472760789	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_22.time.root
2775	20220507_22	1	59706.610724789483356	59706.624207385859336	1164.896326884627	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_22.time.root
2776	20220507_23	0	59706.624721307336586	59706.666163059351675	3580.567374103703	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_23.time.root
2777	20220508_00	0	59706.666689497033076	59706.707569029604201	3531.991614145227	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_00.time.root
2778	20220508_01	0	59706.708092742905137	59706.749454890057677	3573.689513979480	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_01.time.root
2779	20220508_02	0	59706.749975592647388	59706.762845402139646	1111.951540131122	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_02.time.root
2779	20220508_02	1	59706.763894826515752	59706.789078111913113	2175.835858331993	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_02.time.root
2779	20220508_02	2	59706.790127438856871	59706.791218082689738	94.231627159752	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_02.time.root
2780	20220508_03	0	59706.791732541125384	59706.832925788607099	3559.096582420170	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_03.time.root
2781	20220508_04	0	59706.833432073362928	59706.835063923674170	140.991866891272	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_04.time.root
2781	20220508_04	1	59706.836107551120222	59706.874608849611832	3326.512189675122	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_04.time.root
2782	20220508_05	0	59706.875094569302746	59706.907720226212405	2818.856756994501	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_05.time.root
2783	20220508_08	0	59707.019924785803596	59707.041340333482367	1850.303319445811	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_08.time.root
2784	20220508_09	0	59707.041837878583465	59707.082856538203487	3544.012191169895	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_09.time.root
2785	20220508_10	0	59707.083365179758403	59707.124244007456582	3531.930713122711	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_10.time.root
2786	20220508_11	0	59707.124742027372122	59707.166195004341716	3581.537210172974	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_11.time.root
2787	20220508_12	0	59707.166670063706988	59707.208017706259852	3572.436316567473	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_12.time.root
2788	20220508_13	0	59707.208481618290534	59707.249234076465655	3521.012386330403	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_13.time.root
2789	20220508_14	0	59707.249686930226744	59707.291331720196467	3598.109853384085	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_14.time.root
2790	20220508_15	0	59707.291771181866352	59707.332721396291163	3538.098526303656	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_15.time.root
2791	20220508_16	0	59707.333128589561966	59707.374537039373536	3577.690063719638	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_16.time.root
2792	20220508_17	0	59707.374979774882377	59707.416344869867316	3573.944206698798	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_17.time.root
2793	20220508_18	0	59707.416374111460755	59707.457273443134909	3533.702256646939	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_18.time.root
2794	20220508_19	0	59707.458273036740138	59707.499390382872662	3552.538705850020	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_19.time.root
2795	20220508_20	0	59707.499854524299735	59707.525303778216767	2198.815538431518	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_20.time.root
2795	20220508_20	1	59707.526290397807315	59707.541203295921150	1288.474397035316	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_20.time.root
2796	20220508_21	0	59707.541656841603981	59707.582694683398586	3545.669531053863	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_21.time.root
2797	20220508_22	0	59707.583163328316004	59707.624312643456506	3555.300828139298	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0508/Esg20220508_22.time.root
2798	20220509_00	0	59707.666547125263605	59707.707730092726706	3558.208388811909	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_00.time.root
2799	20220509_01	0	59707.708231895361678	59707.749361361551564	3553.585878806189	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_01.time.root
2800	20220509_02	0	59707.749889589584200	59707.791350116640388	3582.189537654631	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_02.time.root
2801	20220509_03	0	59707.791387047916942	59707.832813541652285	3579.249058733694	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_03.time.root
2802	20220509_04	0	59707.833299191603146	59707.874215523355815	3535.171063430607	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_04.time.root
2803	20220509_05	0	59707.874712854165409	59707.903978111011384	2528.518191492185	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_05.time.root
2803	20220509_05	1	59707.905037505166547	59707.905041070298466	0.308027397841	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_05.time.root
2804	20220509_08	0	59708.014453946096182	59708.014457666846283	0.321472808719	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_08.time.root
2804	20220509_08	1	59708.016047465622250	59708.016051199279900	0.322588020936	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_08.time.root
2804	20220509_08	2	59708.017638330871705	59708.041132948092127	2029.934927844442	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_08.time.root
2805	20220509_09	0	59708.041649198639789	59708.082647324692516	3542.238090955652	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_09.time.root
2806	20220509_10	0	59708.083158680907218	59708.124658908927813	3585.619700979441	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_10.time.root
2807	20220509_11	0	59708.125170952604094	59708.165984525869135	3526.292730099522	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_11.time.root
2808	20220509_12	0	59708.166481863816443	59708.207825102901552	3572.055856953375	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_12.time.root
2809	20220509_13	0	59708.208305209613172	59708.249562780671113	3564.654139406048	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_13.time.root
2810	20220509_14	0	59708.250045496293751	59708.291367197409272	3570.194976381026	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_14.time.root
2811	20220509_15	0	59708.291808920948824	59708.332904934686667	3550.695586949587	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_15.time.root
2812	20220509_16	0	59708.333314474184590	59708.374706673486799	3576.286019710824	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_16.time.root
2813	20220509_17	0	59708.374750013375888	59708.411525937015540	3177.439802465960	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_17.time.root
2813	20220509_17	1	59708.412484387830773	59708.416261682650656	326.358272437938	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_17.time.root
2814	20220509_18	0	59708.416695023428474	59708.457874352483486	3557.894030353054	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_18.time.root
2815	20220509_19	0	59708.458292038754735	59708.499609796635923	3569.854280934669	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_19.time.root
2816	20220509_20	0	59708.500036027369788	59708.541103031107923	3548.189122974873	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_20.time.root
2817	20220509_21	0	59708.541512229116051	59708.582830157531134	3569.869015063159	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_21.time.root
2818	20220509_22	0	59708.583251052361447	59708.624685060640331	3579.898315295577	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_22.time.root
2819	20220509_23	0	59708.625122348596051	59708.666076724650338	3538.458091090433	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0509/Esg20220509_23.time.root
2820	20220510_00	0	59708.666529286871082	59708.669850958722236	286.992447939701	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_00.time.root
2820	20220510_00	1	59708.670836697237974	59708.707556981484231	3172.632558876649	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_00.time.root
2821	20220510_01	0	59708.708020747100818	59708.714018314683926	518.189839180559	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_01.time.root
2821	20220510_01	1	59708.715020258525328	59708.749500254467421	2979.071649396792	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_01.time.root
2822	20220510_02	0	59708.749971463847032	59708.791214351993403	3563.385535846464	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_02.time.root
2823	20220510_03	0	59708.791686467768159	59708.832813232140325	3553.352441755123	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_03.time.root
2824	20220510_04	0	59708.833279515689355	59708.874369544915680	3550.178525154479	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_04.time.root
2825	20220510_05	0	59708.874841101911443	59708.902043845919252	2350.317082274705	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_05.time.root
2826	20220510_08	0	59709.012679405066592	59709.012683104003372	0.319588137791	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_08.time.root
2826	20220510_08	1	59709.014213085865777	59709.040922003936430	2307.650521304458	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_08.time.root
2827	20220510_09	0	59709.041375841319677	59709.082983235231950	3594.878834020346	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_09.time.root
2828	20220510_10	0	59709.083053012007440	59709.124380384200776	3570.684957504272	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_10.time.root
2829	20220510_11	0	59709.124820501041540	59709.166299145450466	3583.754876931198	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_11.time.root
2830	20220510_12	0	59709.166738086278201	59709.207926665942068	3558.693282958120	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_12.time.root
2831	20220510_13	0	59709.208362617770035	59709.249702696877648	3571.782834897749	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0510/Esg20220510_13.time.root
