selector,spectrum,cell_id,nhit_bin,predE_bin,excess,official_expected_counts,observed_over_expected,excess_minus_expected,pull_conservative
baseline26,official_pass5,55,"[800,1100)","[4.0,4.25)",66.936237567919,21.26322103818768,3.1479820224652166,45.67301652973131,3.8185182877453303
baseline26,official_pass5,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,76.53973782787769,0.5869284930579124,-31.616384845513743,-3.980869213744887
baseline26,official_pass5,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,105.72121453189696,1.0432453017321353,4.571945821919698,0.3711919034590627
baseline26,official_pass5,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,63.86368538841751,1.1769227495873549,11.298938817700602,1.0732342890255646
baseline26,official_pass5,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,23.44335360370655,1.0232615676900265,0.5453291567338496,0.06816011841758884
baseline26,official_pass5,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,5.031199711141823,5.380677366081209,22.0400626988333,2.7352331176239284
baseline26,official_pass5,81,"[2000,3000)","[4.5,4.75)",4.110992663272295,5.448473220750535,0.7545219544469011,-1.3374805574782398,-0.4761856433070484
baseline26,official_pass5,82,"[2000,3000)","[4.75,5.0)",4.207423108797498,2.696740356967508,1.560188431907014,1.5106827518299895,0.3581408376449174
baseline26,official_pass5,83,"[2000,3000)","[5,6)",8.135495447995465,0.966610214931947,8.416521284712717,7.168885233063518,1.2319108059574317
loose36,official_pass5,1,"[125,200)","[2,2.5)",1117.3280891682298,1190.4945543770737,0.938541117269429,-73.16646520884387,-0.3593736963952694
loose36,official_pass5,2,"[125,200)","[2.5,3)",3656.9754303123773,2779.8193230031366,1.3155442873753458,877.1561073092407,3.162509062192086
loose36,official_pass5,3,"[125,200)","[3,3.25)",657.0089484061609,408.8878176227195,1.6068195727278491,248.1211307834414,1.835820620725554
loose36,official_pass5,4,"[125,200)","[3.25,3.5)",11.703395515804914,155.022726155302,0.07549470846023205,-143.31933063949708,-1.164686111703319
loose36,official_pass5,14,"[200,300)","[2.5,3)",2347.257471674584,2271.0593625544752,1.0335517910172112,76.19810912010871,0.5576223082855325
loose36,official_pass5,15,"[200,300)","[3,3.25)",1312.2452930671052,767.4085088068825,1.7099696941167617,544.8367842602227,6.2489851860375865
loose36,official_pass5,16,"[200,300)","[3.25,3.5)",414.3934613762758,241.9765753897253,1.7125354415354355,172.4168859865505,2.341616657425815
loose36,official_pass5,17,"[200,300)","[3.5,3.75)",105.46085250110991,96.33253695884828,1.0947583841393185,9.128315542261632,0.1320790612019344
loose36,official_pass5,23,"[200,300)","[5,6)",8.345041588196942,0.9150348358410548,9.119916817731417,7.4300067523558875,0.946248499589548
loose36,official_pass5,26,"[300,500)","[2.5,3)",825.8236015369974,860.182911404161,0.9600558097450744,-34.359309867163574,-0.6444940581133405
loose36,official_pass5,27,"[300,500)","[3,3.25)",1521.580954995197,1329.8369087587616,1.1441861366409245,191.74404623643545,2.823303128534457
loose36,official_pass5,28,"[300,500)","[3.25,3.5)",800.4970853563786,677.9500923150175,1.1807610831984638,122.54699304136113,2.3980454053694285
loose36,official_pass5,29,"[300,500)","[3.5,3.75)",332.0461888091163,194.10731113373853,1.7106320564109967,137.93887767537777,3.212267242257793
loose36,official_pass5,30,"[300,500)","[3.75,4.0)",105.27744444227983,62.756729538362926,1.6775482918995033,42.520714903916904,1.038412612606362
loose36,official_pass5,31,"[300,500)","[4.0,4.25)",-5.803559369240247,27.79882981788217,-0.20876991611736795,-33.60238918712241,-1.0216354507831475
loose36,official_pass5,35,"[300,500)","[5,6)",-30.30969174083738,2.1682659022990203,-13.978770642797963,-32.4779576431364,-3.6701258267308123
loose36,official_pass5,39,"[500,800)","[3,3.25)",283.4754869172897,302.1334705116276,0.93824588992824,-18.657983594337907,-0.7743805305785819
loose36,official_pass5,40,"[500,800)","[3.25,3.5)",758.121180063778,768.4358065571563,0.9865771136569088,-10.314626493378341,-0.26183313352788967
