cell_id,nhit_bin,predE_bin,r_opt_deg,sigma_deg,containment_r_opt,N_on,B_on,N_off,alpha,excess,excess_err_stat,excess_err_conservative,known_b_sigma,li_ma_sigma,background_mode,background_form,statistic_kind,statistic_note
45,"[500,800)","[4.5,4.75)",1.3993562459945679,0.8856685161590576,0.6936807632446289,43,25.153487848449448,nan,nan,17.846512151550552,6.557438524302,8.255512573332407,3.228076940177466,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
46,"[500,800)","[4.75,5.0)",1.5490642786026,0.9804204106330872,0.6524077653884888,18,21.598778611504176,nan,nan,-3.5987786115041764,4.242640687119285,6.292756042586124,-0.797506666727506,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
47,"[500,800)","[5,6)",1.8611623048782349,1.1779508590698242,0.5099676847457886,10,11.160959006370534,nan,nan,-1.1609590063705344,3.1622776601683795,4.60010423864183,-0.35381090710828944,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
48,"[500,800)",>=6,1.5800000429153442,1.0,0.7129790186882019,0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
49,"[800,1100)","[2,2.5)",1.5800000429153442,1.0,0.7129790186882019,0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
50,"[800,1100)","[2.5,3)",1.5800000429153442,1.0,0.7129790186882019,0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
51,"[800,1100)","[3,3.25)",1.5800000429153442,1.0,0.7129790186882019,68,44.562101769013374,nan,nan,23.437898230986626,8.246211251235321,10.609528819368624,3.25592688096597,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
52,"[800,1100)","[3.25,3.5)",0.27379876375198364,0.17329035699367523,0.715205192565918,174,22.37649626174378,nan,nan,151.6235037382562,13.19090595827292,14.013439844012026,20.26120337079331,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
53,"[800,1100)","[3.5,3.75)",0.2622322738170624,0.16596980392932892,0.6843349933624268,280,50.460266367343735,nan,nan,229.53973363265627,16.73320053068151,18.17856612517455,22.372716111372675,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
54,"[800,1100)","[3.75,4.0)",0.29693174362182617,0.18793147802352905,0.7769456505775452,152,37.899577126808786,nan,nan,114.1004228731912,12.328828005937952,13.780405550157397,13.929719539407596,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
55,"[800,1100)","[4.0,4.25)",0.5141045451164246,0.32538262009620667,0.8465465307235718,105,31.320230774983372,nan,nan,73.67976922501663,10.246950765959598,11.675625498232776,10.328438643432909,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
56,"[800,1100)","[4.25,4.5)",0.986194372177124,0.624173641204834,0.625923752784729,41,24.016508436717544,nan,nan,16.983491563282456,6.4031242374328485,8.063281493084409,3.144698366941247,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
57,"[800,1100)","[4.5,4.75)",1.2344653606414795,0.7813071608543396,0.7004961967468262,8,1.9691480882783847,nan,nan,6.030851911721616,2.8284271247461903,3.1573957763128755,3.2198982493072443,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
58,"[800,1100)","[4.75,5.0)",1.4706326723098755,0.9307801723480225,0.6651483774185181,0,0.061482336721684946,nan,nan,-0.061482336721684946,0.0,0.24795632018903035,-0.3506631908874524,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
59,"[800,1100)","[5,6)",1.7527832984924316,1.1093565225601196,0.5799309611320496,2,1.1397855204626264,nan,nan,0.8602144795373736,1.4142135623730951,1.7719439947308229,0.7271859075379792,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
