cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
31,"[300,500)","[4.0,4.25)",7370,13417,13167,13094,12654,2993186.221405983,7809.321190273408,12147,7841.398697335993,0.9236817935211599,0.07631820647884013,0.0,0.7935617844410522,0.7038442634649235,0.715563326398548,7.20647850956403,1.2538276194168625,0.6733294402250637,1.270650806559935,2.452405134781049,6.221575079828984,False,False
32,"[300,500)","[4.25,4.5)",6796,11186,11067,11034,10699,1935075.715891838,6116.161537736407,10098,6344.893997669095,0.90039732329825,0.09960267670175005,0.0,0.9151206146242019,0.8919774527064844,0.8958949281980647,6.955799689706319,1.445890571106239,0.6463560319490963,1.5440718253190382,2.9893915117530643,4.942394052090325,False,False
33,"[300,500)","[4.5,4.75)",6278,10057,10026,9972,9731,1275358.5352220535,4610.505212311737,8940,4437.000782058914,0.8817165510070699,0.11828344899293008,0.0,1.0422564072586769,1.000322309457284,1.0039174289733732,4.205993818446792,1.6467651234687095,0.6165552428879433,1.86595905772011,3.207047175562749,4.185934547326162,False,False
34,"[300,500)","[4.75,5.0)",5654,8426,8419,8323,8099,766810.0389614105,3890.2882254975993,6816,3417.846422691672,0.8006000043860476,0.19939999561395239,0.0,1.157105053896875,1.1175404804278484,1.119731050033719,2.355166935885606,1.8282259851570624,0.5390918517900926,2.3263978255372617,3.9900205863120806,4.968276200250443,True,False
35,"[300,500)","[5,6)",9611,34776,34776,34032,33335,942977.615764618,8194.47967347993,14139,4265.006594378669,0.5236374474747503,0.4763625525252497,0.0,1.3199420216645752,1.3163819613501295,1.3611731896901533,2.8823207875763495,2.085508394230029,0.3362881584531523,4.028210921886615,6.430985778724991,7.674979700240836,True,False
36,"[300,500)",>=6,421,433,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
37,"[500,800)","[2,2.5)",0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
38,"[500,800)","[2.5,3)",871,913,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
39,"[500,800)","[3,3.25)",9340,27769,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
40,"[500,800)","[3.25,3.5)",10000,89513,89007,88998,81229,31914320.715462685,740.4660309063212,80614,7463.49485073808,0.8023279087945407,0.19767209120545925,0.0,0.19667968990530443,0.18607003403981984,0.18586369443684247,13.698130423495186,0.310753910050381,0.5905650475161462,0.373915031643206,40.619807876794944,50.74142510828612,True,False
41,"[500,800)","[3.5,3.75)",9987,68604,67868,67855,65877,22783726.846223835,2505.229096623255,64964,5438.590294309848,0.9240574826170272,0.07594251738297275,0.0,0.2058570232365415,0.19409238512063764,0.19358557232794898,10.01595535198334,0.3252540967137356,0.703045207609005,0.31295713895283106,0.5386852432157876,37.10074942538234,False,False
42,"[500,800)","[3.75,4.0)",9288,26703,26014,25987,25748,8006853.4477329245,4809.241979942971,24818,5104.414183661933,0.8590250698869538,0.14097493011304618,0.0,0.3374269585402776,0.2232460752253421,0.22547639949385445,9.18495112765726,0.5331345944936386,0.7524763944030628,0.40821590135055347,22.84176650076658,36.122352899179006,False,False
43,"[500,800)","[4.0,4.25)",6502,10601,10511,10475,10348,2444997.9067602158,2826.152076636005,10189,3015.7989999950164,0.9171149433741005,0.08288505662589951,0.0,0.6165074675735863,0.34755619264465476,0.359988993867482,7.950455370644786,0.9740817987662665,0.6689861993630476,0.99646469543729,2.145842347251235,31.47564900322744,False,False
44,"[500,800)","[4.25,4.5)",4077,5257,5228,5174,5047,877922.6724357605,2576.8634558362482,4978,2667.3425497389358,0.9637484548908166,0.03625154510918338,0.0,0.7489218593186553,0.6368893699371831,0.6528189732954452,4.54517240354434,1.1832965377234754,0.6910998113082539,1.1676951945089662,1.8311432340194178,2.3375489594843235,False,False
45,"[500,800)","[4.5,4.75)",3990,5154,5136,5127,4988,615911.4206571579,2671.3033772328754,4864,2725.954009405811,0.9482906095154868,0.051709390484513174,0.0,0.8856685436165329,0.8395577324560933,0.8402306810197637,3.384420878512724,1.399356298914122,0.6936807593011836,1.371416944439574,2.3077850884480235,3.050556978044051,False,False
46,"[500,800)","[4.75,5.0)",4136,5397,5395,5365,5220,460710.27721500397,2483.0458022414577,4976,2403.734566980542,0.930868695354653,0.069131304645347,0.0,0.980420393241989,0.9435942755862939,0.9384617009934928,1.3273574699279715,1.549064221322343,0.6524077769981995,1.621307642713998,2.6064234088714655,3.31747473082255,False,False
47,"[500,800)","[5,6)",9301,27712,27712,27208,26726,659200.5101251601,5897.15030964967,18133,4513.818893185129,0.7529212955939095,0.24707870440609048,0.0,1.1779508147971354,1.1645074561548734,1.2443750204163637,1.9978026372362745,1.8611622873794738,0.5099676843907855,2.5681527186160933,4.416509686034747,5.450727076555012,True,False
48,"[500,800)",>=6,415,426,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
49,"[800,1100)","[2,2.5)",0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
50,"[800,1100)","[2.5,3)",5,5,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
51,"[800,1100)","[3,3.25)",1034,1093,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
52,"[800,1100)","[3.25,3.5)",7898,15783,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
