label,family,parameter,value,chi2,ndof,chi2_over_ndof,delta_chi2_vs_baseline,max_abs_pull,low_mid_chi2,target_chi2,total_excess,total_model,total_obs_over_model,pull_cell_15,pull_cell_16,pull_cell_29,pull_cell_55,pull_cell_65,pull_cell_69,model_cell_15,model_cell_16,model_cell_29,model_cell_55,model_cell_65,model_cell_69
"nhit_[125,200)_bkg_plus_0.15",background_nhit_row,"[125,200)",0.15,558.2076911362948,23,24.26989961462151,440.91283261009914,13.058513989447022,461.8416513781707,94.06783731765952,5261.745866710261,10289.141654182002,0.5113882229983329,6.5379154070120675,2.03726689490552,2.7456542092937015,4.498596127565224,-2.94950826503842,3.2706971559361424,742.2172485006391,264.3863230049401,214.14427357230934,13.12885999053161,68.34858586630322,0.7165177553955185
"nhit_[125,200)_bkg_plus_0.20",background_nhit_row,"[125,200)",0.2,962.8196720355741,23,41.86172487111192,845.5248135093784,18.679284383389103,855.017203321121,98.57446400192394,1981.361490104593,9509.913081476425,0.20834696102153905,6.91734816161875,2.051394713621837,2.7137263368052995,4.612511839299911,-2.6426262740765076,3.3005285059526424,709.1352494706514,263.3460696820381,215.51529738990345,11.766322536736531,65.91130430605776,0.4761415985999146
"nhit_[200,300)_bkg_plus_0.02",background_nhit_row,"[200,300)",0.02,111.55728008699748,23,4.850316525521629,-5.7375784391981455,4.954337980515335,59.13161307629535,75.95221084188901,14826.676921049597,13685.585429048439,1.083379077783485,4.954337980515335,1.4778174911409636,3.0214653760571237,3.9645395042185627,-3.949984535509022,2.9620258522855676,817.391169889068,255.50732423305374,202.3005881238526,19.51667200238057,76.29444921865549,3.203740815819378
"nhit_[200,300)_bkg_plus_0.05",background_nhit_row,"[200,300)",0.05,109.48496679775585,23,4.760215947728515,-7.80989172843978,4.078299791990599,57.444896289922575,66.4358770447268,14412.343807833135,13274.131810941279,1.0857466245704805,4.078299791990599,0.498922881847274,3.0379740612381467,3.956680259891103,-3.9865548403668467,2.9626338346689725,799.4285832524084,252.47666463789693,201.59168399663375,19.61067584602623,76.58489353375899,3.198841792857245
"nhit_[200,300)_bkg_plus_0.10",background_nhit_row,"[200,300)",0.1,123.4272583128705,23,5.366402535342196,6.132399786674881,5.086342566374348,71.6107722688861,58.25407130444688,13721.788619139033,12586.90452690413,1.0901638754635123,2.617132574920897,-1.1347047342573817,3.0624792323553782,3.9487368193348713,-4.041414356886159,2.968636393154988,769.5871569246223,247.58288654773082,200.53940050144791,19.705686754574714,77.02059224516724,3.150474154818359
"nhit_[200,300)_bkg_plus_0.15",background_nhit_row,"[200,300)",0.15,159.0617944074483,23,6.915730191628187,41.76693588125268,6.898767369122265,106.94884630521679,59.712715073248255,13031.233430444934,11899.039226353621,1.0951500522482323,1.1562637365999389,-2.7709175133198216,3.0826488699746504,3.947519464790108,-4.089681748224419,2.9810492442824525,739.7197155378926,242.87945803743148,199.67329037844146,19.720247442793482,77.40393576591653,3.050453423364854
"nhit_[200,300)_bkg_plus_0.20",background_nhit_row,"[200,300)",0.2,216.3235162013211,23,9.405370269622656,99.02865767512547,8.699590131583053,163.37006098746207,70.83207313047278,12340.678241750831,11212.590467374248,1.10060902319219,-0.30303725051917246,-4.409840570069897,3.09779180115083,3.9541000430356195,-4.1304568157954344,3.0002754875300384,709.7155762743738,238.3755914996599,199.02303348085857,19.64153763015568,77.72777464612287,2.895531488591004
"nhit_[300,500)_bkg_plus_0.02",background_nhit_row,"[300,500)",0.02,114.33171059853714,23,4.970943939066832,-2.9631479276584827,5.653593864516736,63.45876562154635,83.67190471039268,15002.883502030038,13846.369305879965,1.083524725550903,5.653593864516736,2.1699113720312075,2.696924581194055,3.954825075776812,-3.9252017114458995,2.9460165835991847,819.319512487715,254.61950330932567,201.11771011367466,19.632865566837463,76.09762202814318,3.332740893851794
"nhit_[300,500)_bkg_plus_0.05",background_nhit_row,"[300,500)",0.05,111.70376833026957,23,4.856685579576938,-5.591090195926057,5.8247708967663225,63.36258789873655,83.22728768393027,14852.860260284238,13676.364679967679,1.0860239989095801,5.8247708967663225,2.2292764114456496,2.227864110629835,3.931891109358902,-3.9213392318901223,2.920549743222611,804.3949221720816,250.24836288382193,198.58115432785777,19.907177053221886,76.06694590352403,3.5379485432562676
"nhit_[300,500)_bkg_plus_0.10",background_nhit_row,"[300,500)",0.1,112.19855711587552,23,4.878198135472848,-5.096301410320109,6.1048612814075485,67.17918775735338,83.45954630413621,14602.821524041236,13389.898019774082,1.0905849695401653,6.1048612814075485,2.326615162455713,1.4466409871740777,3.897094366682957,-3.9009062690201852,2.8774802443202567,779.9743898893192,243.08115885759798,194.33018723077328,20.323378334362705,75.90466566196284,3.884995546343091
