cell_id,nhit_bin,predE_bin,N_on,B_on,excess,logpar_model,logpar_pull,required_delta_b_to_logpar,required_delta_b_over_b_to_logpar,official_expected_aperture_response,required_delta_b_to_official,required_delta_b_over_b_to_official,annulus_residual_rms,annulus_surface_scale,surface_fit_chi2_over_ndof,source_masked_fraction,offsource_mean_sigma,sigma_obs_over_mc
14,"[200,300)","[2.5,3)",10510.0,8162.742528325416,2347.257471674584,2542.0596273299184,-1.42557379638255,-194.80215565533445,-0.023864792375767614,2271.0593625544752,76.19810912010871,0.00933486617465818,1.010139250515456,1.01236428591451,1.0391664198808246,0.06845347685211074,-7.357699789866807,0.9750820981277056
40,"[500,800)","[3.25,3.5)",1155.0,396.8788199362221,758.121180063778,813.7700959330975,-1.4126279830731432,-55.64891586931958,-0.1402163911852547,768.4358065571563,-10.314626493378341,-0.025989359913526976,0.9988633597424257,1.1021716560774517,1.112996390367471,0.0729844949922621,-0.9081580726824867,1.0550572649752916
83,"[2000,3000)","[5,6)",21.0,12.864504552004535,8.135495447995465,0.2659567544592347,1.3523120316887232,7.869538693536231,0.6117249725182775,0.966610214931947,7.168885233063518,0.5572608882124783,0.6732808249570187,1.1927239068186104,0.31760065749780964,0.06226199543031226,0.13569725652007059,
27,"[300,500)","[3,3.25)",3067.0,1545.419045004803,1521.580954995197,1430.882423120127,1.3354753580229233,90.6985318750701,0.058688633460439996,1329.8369087587616,191.74404623643545,0.12407252703155314,1.0101454586175935,1.0370185029383039,1.0691333497120707,0.07139285598052007,-2.2261831971540333,1.1287972481014046
1,"[125,200)","[2,2.5)",21284.0,20166.67191083177,1117.3280891682298,1339.7695506177995,-1.0925717130726595,-222.44146144956972,-0.011030152244907283,1190.4945543770737,-73.16646520884387,-0.0036280882404570313,0.9991570455976377,1.0099058093846907,1.0056920006124401,0.07357406732081369,-10.737161299149022,0.7445055277790533
52,"[800,1100)","[3.25,3.5)",174.0,31.844042170756428,142.15595782924356,157.6579538468538,-1.0804843235591695,-15.501996017610224,-0.48680993243521975,150.59815904012564,-8.442201210882075,-0.2651108538800663,1.00247328952351,1.4231022527681803,0.6619669460657759,0.07690857681432611,-12.122650902519013,
30,"[300,500)","[3.75,4.0)",891.0,785.7225555577202,105.27744444227983,62.43689598920566,1.0462233747755785,42.84054845307417,0.05452376051832338,62.756729538362926,42.520714903916904,0.05411670392195236,1.0017319311115442,1.4633144995076544,0.9276003041471232,0.11767468747741888,-3.013390479279085,0.844341124633305
53,"[800,1100)","[3.5,3.75)",280.0,72.54814598870522,207.45185401129478,224.42294147057785,-0.9038585155604794,-16.97108745928307,-0.2339286170307542,218.7609410733584,-11.309087062063611,-0.15588388797453606,0.9969171351326991,1.4377281701352689,1.0412504419932125,0.07401091405184175,-0.3053261740257682,1.0327943800511126
66,"[1100,2000)","[3.75,4.0)",131.0,20.70683964618334,110.29316035381666,99.36640402734066,0.8871328833365206,10.926756326475996,0.5276882669292319,105.72121453189696,4.571945821919698,0.22079399367746558,0.9975648983088176,1.4039953996803853,0.6261792068855968,0.07471498371335505,-0.7096513553671175,
41,"[500,800)","[3.5,3.75)",559.0,195.55135881066178,363.4486411893382,387.7901410636949,-0.8861412067670631,-24.341499874356657,-0.12447625024137403,372.2167098277472,-8.768068638408977,-0.04483767687289999,1.0140277470038057,1.2657335446884335,1.3112612359320612,0.07091166077738516,-0.7996291011586264,1.0717829004075259
68,"[1100,2000)","[4.25,4.5)",44.0,20.0113172395596,23.9886827604404,17.781689242246987,0.7758055992295868,6.206993518193414,0.3101741601458923,23.44335360370655,0.5453291567338496,0.02725103751070467,0.7707134036858785,1.2287296400672418,0.38030482167829016,0.06378817511659395,-0.2731397630485476,
82,"[2000,3000)","[4.75,5.0)",11.0,6.792576891202502,4.207423108797498,1.0553940692107264,0.7472583632475023,3.152029039586771,0.46404024423619905,2.696740356967508,1.5106827518299895,0.22240200972720245,0.5333926141075538,1.127929672699988,0.2241690551886631,0.06426575597640484,-0.467075790776638,
42,"[500,800)","[3.75,4.0)",238.0,158.51301047074116,79.48698952925884,91.7217427843557,-0.6144216271313404,-12.234753255096862,-0.07718453658007582,91.54534040940139,-12.058350880142555,-0.07607167919108018,0.9939716546382742,1.4431984675932832,0.7406147506200399,0.06942999791970043,-2.0774506303558926,0.595522938402905
81,"[2000,3000)","[4.5,4.75)",6.0,1.8890073367277047,4.110992663272295,2.7384356101005825,0.48867399207097056,1.3725570531717128,0.726602288135826,5.448473220750535,-1.3374805574782398,-0.708033543053959,0.39420594749993304,1.0907326763619387,0.1306735662169004,0.08287961282516637,-0.29658871704843487,
54,"[800,1100)","[3.75,4.0)",152.0,55.02882674107502,96.97117325892498,94.54149140322698,0.1688628053530341,2.429681855697993,0.04415289221284473,96.15988689292773,0.8112863659972476,0.014742934095516183,1.006387771636335,1.4519641276725985,0.7453751859657304,0.06964258321828501,0.2070050446534939,
