label,mode,fraction,cell_id,nhit_bin,predE_bin,excess,model,pull
left_0.20,left,0.2,81,"[2000,3000)","[4.5,4.75)",4.110992663272295,2.9803746094932944,0.40253600866424244
left_0.20,left,0.2,82,"[2000,3000)","[4.75,5.0)",4.207423108797498,1.4170752259328085,0.6615138266981061
left_0.20,left,0.2,83,"[2000,3000)","[5,6)",8.135495447995465,0.4482986246000908,1.320978161372457
left_0.30,left,0.3,1,"[125,200)","[2,2.5)",1117.3280891682298,1711.8117444004383,-2.9199413695544516
left_0.30,left,0.3,2,"[125,200)","[2.5,3)",3656.9754303123773,2990.621120898153,2.4024817527837015
left_0.30,left,0.3,3,"[125,200)","[3,3.25)",657.0089484061609,1377.871563747429,-5.3335822296759
left_0.30,left,0.3,14,"[200,300)","[2.5,3)",2347.257471674584,2020.2931057732515,2.392744735353301
left_0.30,left,0.3,15,"[200,300)","[3,3.25)",1312.2452930671052,1426.0733821735437,-1.305547024595475
left_0.30,left,0.3,16,"[200,300)","[3.25,3.5)",414.3934613762758,424.32283894759377,-0.13485219725336012
left_0.30,left,0.3,26,"[300,500)","[2.5,3)",825.8236015369974,713.9145981946411,2.0991308609624477
left_0.30,left,0.3,27,"[300,500)","[3,3.25)",1521.580954995197,1305.5582781324351,3.1807897631876005
left_0.30,left,0.3,28,"[300,500)","[3.25,3.5)",800.4970853563786,909.9440025521772,-2.141698220409617
left_0.30,left,0.3,29,"[300,500)","[3.5,3.75)",332.0461888091163,337.05490924917336,-0.11664114473286237
left_0.30,left,0.3,30,"[300,500)","[3.75,4.0)",105.27744444227983,95.33755724233102,0.24274531271722743
left_0.30,left,0.3,40,"[500,800)","[3.25,3.5)",758.121180063778,630.6471133844698,3.235883950195708
left_0.30,left,0.3,41,"[500,800)","[3.5,3.75)",363.4486411893382,477.3719437796319,-4.147325898458847
left_0.30,left,0.3,42,"[500,800)","[3.75,4.0)",79.48698952925884,163.82589274683772,-4.235446769131202
left_0.30,left,0.3,52,"[800,1100)","[3.25,3.5)",142.15595782924356,106.12652393198809,2.511240389203583
left_0.30,left,0.3,53,"[800,1100)","[3.5,3.75)",207.45185401129478,184.78341962986502,1.2072919604731553
left_0.30,left,0.3,54,"[800,1100)","[3.75,4.0)",96.97117325892498,119.61434881374257,-1.5736999217905059
left_0.30,left,0.3,55,"[800,1100)","[4.0,4.25)",66.936237567919,37.4134360727069,2.4682704577123262
left_0.30,left,0.3,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,52.368175201058406,-0.9373893858206264
left_0.30,left,0.3,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,82.19923331854568,2.280919034924955
left_0.30,left,0.3,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,60.977774343043215,1.3473537208540851
left_0.30,left,0.3,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,26.103748883035387,-0.26435989273073873
left_0.30,left,0.3,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,6.950586908248602,2.4970318248777086
left_0.30,left,0.3,81,"[2000,3000)","[4.5,4.75)",4.110992663272295,3.026014108157808,0.3862868946788033
left_0.30,left,0.3,82,"[2000,3000)","[4.75,5.0)",4.207423108797498,1.554820724680816,0.6288582024489585
left_0.30,left,0.3,83,"[2000,3000)","[5,6)",8.135495447995465,0.5257323327140134,1.3076718496280675
right_0.05,right,0.05,1,"[125,200)","[2,2.5)",1117.3280891682298,1412.232426901818,-1.4484895728092142
right_0.05,right,0.05,2,"[125,200)","[2.5,3)",3656.9754303123773,3014.107115293008,2.317805069249951
right_0.05,right,0.05,3,"[125,200)","[3,3.25)",657.0089484061609,437.41858251203166,1.6247246679403538
right_0.05,right,0.05,14,"[200,300)","[2.5,3)",2347.257471674584,2478.5790534512776,-0.961019169683075
right_0.05,right,0.05,15,"[200,300)","[3,3.25)",1312.2452930671052,816.3236482671965,5.6879548175107955
right_0.05,right,0.05,16,"[200,300)","[3.25,3.5)",414.3934613762758,255.3284494601692,2.160283080077468
right_0.05,right,0.05,26,"[300,500)","[2.5,3)",825.8236015369974,989.5486130161572,-3.0710685828908297
right_0.05,right,0.05,27,"[300,500)","[3,3.25)",1521.580954995197,1424.2265126937546,1.4334791975103345
right_0.05,right,0.05,28,"[300,500)","[3.25,3.5)",800.4970853563786,711.2246125593499,1.7469171450386187
right_0.05,right,0.05,29,"[300,500)","[3.5,3.75)",332.0461888091163,200.10900095136228,3.0725022106420092
right_0.05,right,0.05,30,"[300,500)","[3.75,4.0)",105.27744444227983,61.48307932119512,1.069516850918076
right_0.05,right,0.05,40,"[500,800)","[3.25,3.5)",758.121180063778,811.3371392938395,-1.3508682420875282
right_0.05,right,0.05,41,"[500,800)","[3.5,3.75)",363.4486411893382,381.22214280933787,-0.6470362243624523
right_0.05,right,0.05,42,"[500,800)","[3.75,4.0)",79.48698952925884,89.55119949491723,-0.5054183058669559
right_0.05,right,0.05,52,"[800,1100)","[3.25,3.5)",142.15595782924356,164.66355354832692,-1.568772454066599
right_0.05,right,0.05,53,"[800,1100)","[3.5,3.75)",207.45185401129478,222.20348155630523,-0.7856529056799453
right_0.05,right,0.05,54,"[800,1100)","[3.75,4.0)",96.97117325892498,92.00546886706937,0.3451162843382768
right_0.05,right,0.05,55,"[800,1100)","[4.0,4.25)",66.936237567919,18.674023040479607,4.0349896455853775
right_0.05,right,0.05,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,78.3744290343289,-4.211878096518101
right_0.05,right,0.05,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,97.82103233160419,1.0126001315576125
right_0.05,right,0.05,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,52.93809986723297,2.111005463664312
right_0.05,right,0.05,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,16.737288435623114,0.9063441588790783
right_0.05,right,0.05,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,2.9491340157411217,2.9936232647368106
right_0.05,right,0.05,81,"[2000,3000)","[4.5,4.75)",4.110992663272295,2.5044820930685505,0.5719688896221502
right_0.05,right,0.05,82,"[2000,3000)","[4.75,5.0)",4.207423108797498,0.9376325586453483,0.7751763400597256
right_0.05,right,0.05,83,"[2000,3000)","[5,6)",8.135495447995465,0.22684259347315672,1.3590334613138586
right_0.10,right,0.1,1,"[125,200)","[2,2.5)",1117.3280891682298,1483.1614183471393,-1.7968734091000031
right_0.10,right,0.1,2,"[125,200)","[2.5,3)",3656.9754303123773,2888.3079430047596,2.771362901274018
right_0.10,right,0.1,3,"[125,200)","[3,3.25)",657.0089484061609,430.5852955157973,1.6752833976036152
right_0.10,right,0.1,14,"[200,300)","[2.5,3)",2347.257471674584,2410.0757782845108,-0.45970811531819994
right_0.10,right,0.1,15,"[200,300)","[3,3.25)",1312.2452930671052,801.7502531956712,5.855103829000333
right_0.10,right,0.1,16,"[200,300)","[3.25,3.5)",414.3934613762758,252.69984008977715,2.1959825735021186
right_0.10,right,0.1,26,"[300,500)","[2.5,3)",825.8236015369974,1027.0075156038313,-3.7737031886072376
right_0.10,right,0.1,27,"[300,500)","[3,3.25)",1521.580954995197,1415.7157763056157,1.5587941115449304
right_0.10,right,0.1,28,"[300,500)","[3.25,3.5)",800.4970853563786,700.3492135570527,1.9597310212649883
right_0.10,right,0.1,29,"[300,500)","[3.5,3.75)",332.0461888091163,197.05614346135783,3.143595975327418
right_0.10,right,0.1,30,"[300,500)","[3.75,4.0)",105.27744444227983,60.39733928508243,1.096032071794742
right_0.10,right,0.1,40,"[500,800)","[3.25,3.5)",758.121180063778,807.9060681640476,-1.2637717189272162
right_0.10,right,0.1,41,"[500,800)","[3.5,3.75)",363.4486411893382,373.94303714671366,-0.3820437009207039
right_0.10,right,0.1,42,"[500,800)","[3.75,4.0)",79.48698952925884,87.1897731904229,-0.38682895942846357
right_0.10,right,0.1,52,"[800,1100)","[3.25,3.5)",142.15595782924356,171.75853677850426,-2.0632905888547417
right_0.10,right,0.1,53,"[800,1100)","[3.5,3.75)",207.45185401129478,219.6149675079698,-0.6477919423887483
right_0.10,right,0.1,54,"[800,1100)","[3.75,4.0)",96.97117325892498,89.27363769138992,0.5349784570314939
right_0.10,right,0.1,55,"[800,1100)","[4.0,4.25)",66.936237567919,17.867902283111746,4.102385825825334
right_0.10,right,0.1,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,80.55495961995003,-4.486432164617381
right_0.10,right,0.1,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,96.04093537773026,1.1571244987279778
right_0.10,right,0.1,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,50.71666307423128,2.3220095389689326
right_0.10,right,0.1,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,15.666340647351864,1.0402007978763752
right_0.10,right,0.1,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,2.700679075601133,3.024457214249311
right_0.10,right,0.1,81,"[2000,3000)","[4.5,4.75)",4.110992663272295,2.271350075147395,0.6549713073459398
right_0.10,right,0.1,82,"[2000,3000)","[4.75,5.0)",4.207423108797498,0.8242775818951124,0.8020496503397111
right_0.10,right,0.1,83,"[2000,3000)","[5,6)",8.135495447995465,0.19097640858364667,1.3651967543918497
right_0.20,right,0.2,1,"[125,200)","[2,2.5)",1117.3280891682298,1615.8003351898064,-2.448359546848426
right_0.20,right,0.2,2,"[125,200)","[2.5,3)",3656.9754303123773,2614.497157862669,3.7585635627322285
right_0.20,right,0.2,3,"[125,200)","[3,3.25)",657.0089484061609,414.4763294235853,1.7944718441388798
right_0.20,right,0.2,14,"[200,300)","[2.5,3)",2347.257471674584,2256.8419951096334,0.6616658514112513
right_0.20,right,0.2,15,"[200,300)","[3,3.25)",1312.2452930671052,767.7373850234998,6.245213152531311
right_0.20,right,0.2,16,"[200,300)","[3.25,3.5)",414.3934613762758,246.17327781382437,2.28462068370607
right_0.20,right,0.2,26,"[300,500)","[2.5,3)",825.8236015369974,1102.0873772432003,-5.18201217087783
right_0.20,right,0.2,27,"[300,500)","[3,3.25)",1521.580954995197,1392.4749351707549,1.9009999884612614
right_0.20,right,0.2,28,"[300,500)","[3.25,3.5)",800.4970853563786,674.6696072597173,2.462239164179901
right_0.20,right,0.2,29,"[300,500)","[3.5,3.75)",332.0461888091163,189.8073694695188,3.312402620944132
right_0.20,right,0.2,30,"[300,500)","[3.75,4.0)",105.27744444227983,57.8084869574991,1.1592553011127944
right_0.20,right,0.2,40,"[500,800)","[3.25,3.5)",758.121180063778,797.8110007617662,-1.0075120150192307
right_0.20,right,0.2,41,"[500,800)","[3.5,3.75)",363.4486411893382,357.16772871079735,0.22865375560509146
right_0.20,right,0.2,42,"[500,800)","[3.75,4.0)",79.48698952925884,81.88298565592602,-0.12032542120405731
