mode,fraction,prior_sigma,chi2,ndof,chi2_over_ndof,penalty,profile_chi2,profile_chi2_over_ndof,phi0,alpha,beta,max_abs_pull
left,0.26,0.1,114.16658800088683,23,4.963764695690732,6.760000000000001,120.92658800088684,5.257677739168993,2.2114673632583422e-12,2.825922121552049,0.11451190870855717,4.4683800496109445
left,0.27,0.1,121.73001399050759,23,5.292609303935112,7.290000000000001,129.02001399050758,5.609565825674243,2.2019414999326816e-12,2.8271181708898245,0.11378951901981134,4.690027298821708
left,0.28,0.1,129.85770952188525,23,5.6459873705167505,7.840000000000002,137.69770952188526,5.986856935734141,2.1921871326642344e-12,2.828191496298154,0.11308104882346848,4.908435488201688
left,0.29,0.1,138.54229638875626,23,6.023578103858967,8.409999999999997,146.95229638875625,6.389230277772011,2.182208574437643e-12,2.829139454859141,0.11238377354072832,5.123383960151306
left,0.3,0.1,147.77554825056507,23,6.42502383698109,8.999999999999998,156.77554825056507,6.816328184807177,2.172282843334143e-12,2.829649429001331,0.11160399689573697,5.3335822296759
right,0.0,0.1,117.29485852619563,23,5.099776457660679,0.0,117.29485852619563,5.099776457660679,2.3678384316162437e-12,2.76152182132255,0.1453590035940586,5.537946645622887
right,0.01,0.1,119.73715789869419,23,5.2059633868997475,0.009999999999999998,119.7471578986942,5.206398169508444,2.379210869996921e-12,2.762488673538928,0.14719188969184158,5.566856356305803
right,0.02,0.1,122.31947241438803,23,5.31823793106035,0.039999999999999994,122.35947241438804,5.319977061495132,2.390643002066476e-12,2.7634924847850417,0.14907679995753317,5.596229763231065
right,0.03,0.1,125.04442829520869,23,5.436714273704726,0.09,125.13442829520869,5.440627317182987,2.402099070618807e-12,2.7645057337054055,0.1509937394195064,5.6262574965553425
right,0.04,0.1,127.91466496935877,23,5.561507172580816,0.15999999999999998,128.07466496935876,5.568463694319946,2.4135781503166e-12,2.7655277107475618,0.15294329405129722,5.656950680130028
right,0.05,0.1,130.93283559064875,23,5.69273198220212,0.25,131.18283559064875,5.7036015474195105,2.4251768892621914e-12,2.7666062548535817,0.15497236388950847,5.6879548175107955
right,0.06,0.1,134.10159125816568,23,5.830503967746334,0.36,134.4615912581657,5.846156141659378,2.436712998228761e-12,2.7676466402533233,0.1569936478880267,5.719977150389289
right,0.07,0.1,137.4235989227862,23,5.9749390835994,0.4900000000000001,137.9135989227862,5.996243431425487,2.448271521354027e-12,2.768693973134194,0.15905022812125452,5.752693094855995
right,0.08,0.1,140.90152610861642,23,6.126153309070279,0.6399999999999999,141.5415261086164,6.1539793960268,2.4598523884186576e-12,2.769747044012315,0.16114275000338044,5.7861133293637135
right,0.09,0.1,144.53804173000768,23,6.2842626839133775,0.8099999999999998,145.34804173000768,6.319480075217725,2.4714550525333606e-12,2.770805723477273,0.16327238317184498,5.820245562104501
right,0.1,0.1,148.33581338130617,23,6.449383190491573,1.0,149.33581338130617,6.492861451361137,2.4830811471703753e-12,2.7718665849810726,0.16543893299491857,5.855103829000333
