scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
file,202201,20,4,"[100,200)","[2,3)",9470
file,202201,20,5,"[100,200)","[3,3.25)",2587
file,202201,20,6,"[200,300)","[2,3)",1072
file,202201,20,7,"[200,300)","[3,3.25)",1044
file,202201,20,8,"[300,500)","[3,3.25)",424
file,202201,20,9,"[300,500)","[3.25,3.5)",659
file,202201,20,10,"[500,800)","[3.25,3.5)",148
file,202201,20,11,"[500,800)","[3.5,3.75)",292
file,202201,20,12,"[500,800)","[3.75,4.0)",143
file,202201,20,13,"[800,1100)","[3.5,3.75)",46
file,202201,20,14,"[800,1100)","[3.75,4.0)",58
file,202201,20,15,"[800,1100)","[4.0,4.25)",28
file,202201,20,16,"[1100,2000)","[3.75,4.0)",16
file,202201,20,17,"[1100,2000)","[4.0,4.25)",23
file,202201,20,18,"[1100,2000)","[4.25,4.5)",19
file,202201,21,1,"[30,60)","[2,3)",11481
file,202201,21,2,"[60,100)","[2,3)",21124
file,202201,21,3,"[60,100)","[3,3.25)",1104
file,202201,21,4,"[100,200)","[2,3)",24820
file,202201,21,5,"[100,200)","[3,3.25)",3383
file,202201,21,6,"[200,300)","[2,3)",3537
file,202201,21,7,"[200,300)","[3,3.25)",2035
file,202201,21,8,"[300,500)","[3,3.25)",1397
file,202201,21,9,"[300,500)","[3.25,3.5)",1174
file,202201,21,10,"[500,800)","[3.25,3.5)",617
file,202201,21,11,"[500,800)","[3.5,3.75)",375
file,202201,21,12,"[500,800)","[3.75,4.0)",66
file,202201,21,13,"[800,1100)","[3.5,3.75)",140
file,202201,21,14,"[800,1100)","[3.75,4.0)",99
file,202201,21,15,"[800,1100)","[4.0,4.25)",22
file,202201,21,16,"[1100,2000)","[3.75,4.0)",44
file,202201,21,17,"[1100,2000)","[4.0,4.25)",57
file,202201,21,18,"[1100,2000)","[4.25,4.5)",39
file,202201,22,1,"[30,60)","[2,3)",53441
file,202201,22,2,"[60,100)","[2,3)",49527
file,202201,22,3,"[60,100)","[3,3.25)",2064
file,202201,22,4,"[100,200)","[2,3)",44722
file,202201,22,5,"[100,200)","[3,3.25)",3245
file,202201,22,6,"[200,300)","[2,3)",7383
file,202201,22,7,"[200,300)","[3,3.25)",1955
file,202201,22,8,"[300,500)","[3,3.25)",2224
file,202201,22,9,"[300,500)","[3.25,3.5)",847
file,202201,22,10,"[500,800)","[3.25,3.5)",852
file,202201,22,11,"[500,800)","[3.5,3.75)",291
file,202201,22,12,"[500,800)","[3.75,4.0)",55
file,202201,22,13,"[800,1100)","[3.5,3.75)",246
file,202201,22,14,"[800,1100)","[3.75,4.0)",88
file,202201,22,15,"[800,1100)","[4.0,4.25)",24
file,202201,22,16,"[1100,2000)","[3.75,4.0)",98
file,202201,22,17,"[1100,2000)","[4.0,4.25)",74
file,202201,22,18,"[1100,2000)","[4.25,4.5)",34
