cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,cell_role,exclusion_source
45,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[500,800)","[4.5,4.75)",5154,1,0,excluded,MC_prefit_selector
46,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[500,800)","[4.75,5.0)",5397,1,0,excluded,MC_prefit_selector
47,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[500,800)","[5,6)",27712,1,0,excluded,MC_prefit_selector
48,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[500,800)",>=6,426,0,0,excluded,MC_prefit_selector
49,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[800,1100)","[2,2.5)",0,0,0,excluded,MC_prefit_selector
50,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[800,1100)","[2.5,3)",5,0,0,excluded,MC_prefit_selector
51,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[800,1100)","[3,3.25)",1093,1,0,excluded,MC_prefit_selector
52,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[800,1100)","[3.25,3.5)",15783,1,0,excluded,MC_prefit_selector
53,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[800,1100)","[3.5,3.75)",32787,1,1,baseline_fit,
54,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[800,1100)","[3.75,4.0)",22615,1,1,baseline_fit,
55,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[800,1100)","[4.0,4.25)",9020,1,1,baseline_fit,
56,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[800,1100)","[4.25,4.5)",2841,1,1,baseline_fit,
57,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[800,1100)","[4.5,4.75)",1287,1,1,baseline_fit,
58,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[800,1100)","[4.75,5.0)",1482,1,0,excluded,MC_prefit_selector
59,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[800,1100)","[5,6)",8235,1,0,excluded,MC_prefit_selector
60,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[800,1100)",>=6,71,0,0,excluded,MC_prefit_selector
61,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[1100,2000)","[2,2.5)",0,0,0,excluded,MC_prefit_selector
62,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[1100,2000)","[2.5,3)",0,0,0,excluded,MC_prefit_selector
63,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[1100,2000)","[3,3.25)",16,0,0,excluded,MC_prefit_selector
64,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[1100,2000)","[3.25,3.5)",1565,1,0,excluded,MC_prefit_selector
65,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[1100,2000)","[3.5,3.75)",10960,1,0,excluded,MC_prefit_selector
66,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[1100,2000)","[3.75,4.0)",23726,1,1,baseline_fit,
67,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[1100,2000)","[4.0,4.25)",23998,1,1,baseline_fit,
68,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[1100,2000)","[4.25,4.5)",13380,1,1,baseline_fit,
69,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[1100,2000)","[4.5,4.75)",5650,1,1,baseline_fit,
70,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[1100,2000)","[4.75,5.0)",1641,1,1,baseline_fit,
71,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[1100,2000)","[5,6)",910,1,0,excluded,MC_prefit_selector
72,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[1100,2000)",>=6,4,0,0,excluded,MC_prefit_selector
73,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[2000,3000)","[2,2.5)",0,0,0,excluded,MC_prefit_selector
74,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[2000,3000)","[2.5,3)",0,0,0,excluded,MC_prefit_selector
75,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[2000,3000)","[3,3.25)",0,0,0,excluded,MC_prefit_selector
76,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[2000,3000)","[3.25,3.5)",0,0,0,excluded,MC_prefit_selector
77,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[2000,3000)","[3.5,3.75)",4,0,0,excluded,MC_prefit_selector
78,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[2000,3000)","[3.75,4.0)",156,1,0,excluded,MC_prefit_selector
79,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[2000,3000)","[4.0,4.25)",1175,1,0,excluded,MC_prefit_selector
80,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[2000,3000)","[4.25,4.5)",3127,1,1,baseline_fit,
81,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[2000,3000)","[4.5,4.75)",5515,1,1,baseline_fit,
82,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[2000,3000)","[4.75,5.0)",5332,1,1,baseline_fit,
83,1,v3_baseline,central99 physical-ridge MC/response prefit cell,"[2000,3000)","[5,6)",7233,1,1,baseline_fit,
84,0,v3_baseline,excluded by central99/ridge/statistics/high-energy prefit rule,"[2000,3000)",>=6,0,0,0,excluded,MC_prefit_selector
