cell_id,nhit_bin,predE_bin,mc_count,candidate_version,central99_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bin
53,"[800,1100)","[3.5,3.75)",32787,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[800,1100)","[3.5,3.75)"
54,"[800,1100)","[3.75,4.0)",22615,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[800,1100)","[3.75,4.0)"
55,"[800,1100)","[4.0,4.25)",9020,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[800,1100)","[4.0,4.25)"
56,"[800,1100)","[4.25,4.5)",2841,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[800,1100)","[4.25,4.5)"
57,"[800,1100)","[4.5,4.75)",1287,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[800,1100)","[4.5,4.75)"
58,"[800,1100)","[4.75,5.0)",1482,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[800,1100)","[4.75,5.0)"
59,"[800,1100)","[5,6)",8235,v3_candidate,1,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,"[800,1100)",>=5
60,"[800,1100)",>=6,71,v3_candidate,0,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,"[800,1100)",>=5
61,"[1100,2000)","[2,2.5)",0,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[1100,2000)","[2,3)"
62,"[1100,2000)","[2.5,3)",0,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[1100,2000)","[2,3)"
63,"[1100,2000)","[3,3.25)",16,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,existing_cache_symlink,"[1100,2000)","[3,3.25)"
64,"[1100,2000)","[3.25,3.5)",1565,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[1100,2000)","[3.25,3.5)"
65,"[1100,2000)","[3.5,3.75)",10960,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell; PSF requires follow-up,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell; PSF requires follow-up,existing_cache_symlink,"[1100,2000)","[3.5,3.75)"
66,"[1100,2000)","[3.75,4.0)",23726,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[1100,2000)","[3.75,4.0)"
67,"[1100,2000)","[4.0,4.25)",23998,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[1100,2000)","[4.0,4.25)"
68,"[1100,2000)","[4.25,4.5)",13380,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[1100,2000)","[4.25,4.5)"
69,"[1100,2000)","[4.5,4.75)",5650,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[1100,2000)","[4.5,4.75)"
70,"[1100,2000)","[4.75,5.0)",1641,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[1100,2000)","[4.75,5.0)"
71,"[1100,2000)","[5,6)",910,v3_candidate,1,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,"[1100,2000)",>=5
72,"[1100,2000)",>=6,4,v3_candidate,0,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,"[1100,2000)",>=5
73,"[2000,3000)","[2,2.5)",0,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[2,3)"
74,"[2000,3000)","[2.5,3)",0,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[2,3)"
75,"[2000,3000)","[3,3.25)",0,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[3,3.25)"
76,"[2000,3000)","[3.25,3.5)",0,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[3.25,3.5)"
77,"[2000,3000)","[3.5,3.75)",4,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[3.5,3.75)"
78,"[2000,3000)","[3.75,4.0)",156,v3_candidate,1,v3_candidate,below prefit MC-count threshold,v3_candidate,diagnostic_low_stat,below prefit MC-count threshold,filtered_existing_cache,>=2000,"[3.75,4.0)"
79,"[2000,3000)","[4.0,4.25)",1175,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,>=2000,"[4.0,4.25)"
80,"[2000,3000)","[4.25,4.5)",3127,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,>=2000,"[4.25,4.5)"
81,"[2000,3000)","[4.5,4.75)",5515,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,filtered_existing_cache,>=2000,"[4.5,4.75)"
82,"[2000,3000)","[4.75,5.0)",5332,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,filtered_existing_cache,>=2000,"[4.75,5.0)"
83,"[2000,3000)","[5,6)",7233,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,filtered_existing_cache,>=2000,>=5
84,"[2000,3000)",>=6,0,v3_candidate,0,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,>=2000,>=5
