cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source
39,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,diagnostic >=6 tail bin excluded from main fit,"[300,500)",>=6,182,0,0,0.0,0,1,1,high_energy_probe,
40,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
41,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[2.5,3)",764,0,0,0.009083451235896278,1,0,1,excluded,MC_prefit_selector
42,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[3,3.25)",16004,1,1,0.1902769025906859,1,0,1,baseline_fit,
43,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[3.25,3.5)",69150,1,1,0.8221474515212402,1,0,1,baseline_fit,
44,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[3.5,3.75)",84109,1,1,1.0,1,0,1,baseline_fit,
45,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[3.75,4.0)",39230,1,1,0.46641857589556407,1,0,1,baseline_fit,
46,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[4.0,4.25)",13596,1,1,0.16164738612990287,1,0,1,baseline_fit,
47,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[4.25,4.5)",7227,1,0,0.08592421738458429,1,0,1,excluded,MC_prefit_selector
48,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[4.5,4.75)",6002,1,0,0.0713597831385464,1,0,1,excluded,MC_prefit_selector
49,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[4.75,5.0)",5968,1,0,0.07095554577988086,1,0,1,excluded,MC_prefit_selector
