cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source,split_child_gate_exception,split_child_effective_min_mc_count,split_child_default_min_mc_count,split_child_original_prefit_physical_ridge_flag,psf_systematic_variant,psf_borrowed_from,psf_borrow_method
46,0,v6_64748_split56_drop4_psfborrow,central99 MC-occupancy-ridge prefit cell; excluded for v4 cell-selection-bias drop4 control,"[500,800)","[4.0,4.25)",10601,1,1,0.1548800899485096,1,0,1,drop4_control_excluded,v4_drop4_bias_control,0,,,,,,
47,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[4.25,4.5)",5257,1,0,0.08904135842692322,1,0,1,excluded,MC_prefit_selector,0,,,,,,
48,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[4.5,4.75)",5154,1,0,0.0762262511658809,1,0,1,excluded,MC_prefit_selector,0,,,,,,
49,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[4.75,5.0)",5397,1,0,0.07775946439751108,1,0,1,excluded,MC_prefit_selector,0,,,,,,
50,0,v6_64748_split56_drop4_psfborrow,split56 high-energy probe excluded outside preserved highest-Nhit baseline split,"[500,800)","[5,5.5)",13235,1,1,0.17508017427523734,1,0,1,high_energy_probe,high_energy_probe,0,,,,,,
51,0,v6_64748_split56_drop4_psfborrow,split56 high-energy probe excluded outside preserved highest-Nhit baseline split,"[500,800)","[5.5,6)",14477,1,1,0.14674128304393932,1,0,1,high_energy_probe,high_energy_probe,0,,,,,,
52,0,v6_64748_split56_drop4_psfborrow,>=6 tail retained in candidate cache but excluded from fit,"[500,800)",>=6,426,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range,0,,,,,,
53,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector,0,,,,,,
54,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[2.5,3)",5,0,0,0.00016227970530005519,1,0,1,excluded,MC_prefit_selector,0,,,,,,
55,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[3,3.25)",1093,1,0,0.01590341111940541,1,0,1,excluded,MC_prefit_selector,0,,,,,,
