cell_id,nhit_bin,predE_bin,mc_count,candidate_version,strategy,central99_flag,fit_predE_range_flag,tail_bin_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bins
22,"[200,300)","[4.5,4.75)",8154,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.5,4.75)"
23,"[200,300)","[4.75,5.0)",6647,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.75,5.0)"
24,"[200,300)","[5,5.5)",13024,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64670_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[200,300)",>=5
25,"[200,300)","[5.5,6)",9455,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64670_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[200,300)",>=5
26,"[200,300)",>=6,173,v6_64670_split56_candidate,split56,0,0,1,v6_64670_split56_candidate,"diagnostic >=6 tail bin outside [2,6); not used in main fit",v6_64670_split56_candidate,diagnostic_tail,"diagnostic >=6 tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[200,300)",>=5
27,"[300,500)","[2,2.5)",266,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[300,500)","[2,3)"
28,"[300,500)","[2.5,3)",67886,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[300,500)","[2,3)"
29,"[300,500)","[3,3.25)",147996,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3,3.25)"
30,"[300,500)","[3.25,3.5)",123504,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3.25,3.5)"
31,"[300,500)","[3.5,3.75)",50681,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3.5,3.75)"
32,"[300,500)","[3.75,4.0)",21548,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3.75,4.0)"
33,"[300,500)","[4.0,4.25)",15484,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[4.0,4.25)"
34,"[300,500)","[4.25,4.5)",12379,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.25,4.5)"
35,"[300,500)","[4.5,4.75)",10557,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.5,4.75)"
36,"[300,500)","[4.75,5.0)",8906,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.75,5.0)"
37,"[300,500)","[5,5.5)",17593,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[300,500)",>=5
38,"[300,500)","[5.5,6)",13248,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64670_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[300,500)",>=5
39,"[300,500)",>=6,192,v6_64670_split56_candidate,split56,0,0,1,v6_64670_split56_candidate,"diagnostic >=6 tail bin outside [2,6); not used in main fit",v6_64670_split56_candidate,diagnostic_tail,"diagnostic >=6 tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[300,500)",>=5
40,"[500,800)","[2,2.5)",0,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[500,800)","[2,3)"
41,"[500,800)","[2.5,3)",1188,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[500,800)","[2,3)"
42,"[500,800)","[3,3.25)",21957,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[500,800)","[3,3.25)"
43,"[500,800)","[3.25,3.5)",76528,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[500,800)","[3.25,3.5)"
44,"[500,800)","[3.5,3.75)",78267,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[500,800)","[3.5,3.75)"
45,"[500,800)","[3.75,4.0)",33636,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[500,800)","[3.75,4.0)"
46,"[500,800)","[4.0,4.25)",12122,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[500,800)","[4.0,4.25)"
47,"[500,800)","[4.25,4.5)",6969,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[500,800)","[4.25,4.5)"
48,"[500,800)","[4.5,4.75)",5966,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[500,800)","[4.5,4.75)"
49,"[500,800)","[4.75,5.0)",6086,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[500,800)","[4.75,5.0)"
50,"[500,800)","[5,5.5)",13703,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[500,800)",>=5
51,"[500,800)","[5.5,6)",11485,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[500,800)",>=5
52,"[500,800)",>=6,142,v6_64670_split56_candidate,split56,0,0,1,v6_64670_split56_candidate,"diagnostic >=6 tail bin outside [2,6); not used in main fit",v6_64670_split56_candidate,diagnostic_tail,"diagnostic >=6 tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[500,800)",>=5
53,"[800,1100)","[2,2.5)",0,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[800,1100)","[2,3)"
54,"[800,1100)","[2.5,3)",5,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[800,1100)","[2,3)"
55,"[800,1100)","[3,3.25)",490,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,below prefit MC-count threshold,v6_64670_split56_candidate,diagnostic_low_stat,below prefit MC-count threshold,existing_cache_symlink,"[800,1100)","[3,3.25)"
56,"[800,1100)","[3.25,3.5)",7276,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[800,1100)","[3.25,3.5)"
57,"[800,1100)","[3.5,3.75)",26776,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[800,1100)","[3.5,3.75)"
58,"[800,1100)","[3.75,4.0)",30811,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[800,1100)","[3.75,4.0)"
59,"[800,1100)","[4.0,4.25)",14279,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[800,1100)","[4.0,4.25)"
60,"[800,1100)","[4.25,4.5)",4144,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[800,1100)","[4.25,4.5)"
61,"[800,1100)","[4.5,4.75)",1783,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[800,1100)","[4.5,4.75)"
62,"[800,1100)","[4.75,5.0)",1857,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[800,1100)","[4.75,5.0)"
63,"[800,1100)","[5,5.5)",4903,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[800,1100)",>=5
64,"[800,1100)","[5.5,6)",2876,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64670_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[800,1100)",>=5
65,"[800,1100)",>=6,19,v6_64670_split56_candidate,split56,0,0,1,v6_64670_split56_candidate,"diagnostic >=6 tail bin outside [2,6); not used in main fit",v6_64670_split56_candidate,diagnostic_tail,"diagnostic >=6 tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[800,1100)",>=5
66,"[1100,2000)","[2,2.5)",0,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[1100,2000)","[2,3)"
67,"[1100,2000)","[2.5,3)",0,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[1100,2000)","[2,3)"
68,"[1100,2000)","[3,3.25)",6,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,existing_cache_symlink,"[1100,2000)","[3,3.25)"
69,"[1100,2000)","[3.25,3.5)",324,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,existing_cache_symlink,"[1100,2000)","[3.25,3.5)"
70,"[1100,2000)","[3.5,3.75)",4270,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[1100,2000)","[3.5,3.75)"
71,"[1100,2000)","[3.75,4.0)",17528,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[1100,2000)","[3.75,4.0)"
72,"[1100,2000)","[4.0,4.25)",29985,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[1100,2000)","[4.0,4.25)"
73,"[1100,2000)","[4.25,4.5)",18934,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[1100,2000)","[4.25,4.5)"
74,"[1100,2000)","[4.5,4.75)",7628,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[1100,2000)","[4.5,4.75)"
75,"[1100,2000)","[4.75,5.0)",2044,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[1100,2000)","[4.75,5.0)"
76,"[1100,2000)","[5,5.5)",958,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64670_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[1100,2000)",>=5
77,"[1100,2000)","[5.5,6)",173,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64670_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[1100,2000)",>=5
78,"[1100,2000)",>=6,0,v6_64670_split56_candidate,split56,0,0,1,v6_64670_split56_candidate,"diagnostic >=6 tail bin outside [2,6); not used in main fit",v6_64670_split56_candidate,diagnostic_tail,"diagnostic >=6 tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[1100,2000)",>=5
79,"[2000,3000)","[2,2.5)",0,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[2,3)"
80,"[2000,3000)","[2.5,3)",0,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[2,3)"
81,"[2000,3000)","[3,3.25)",0,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[3,3.25)"
82,"[2000,3000)","[3.25,3.5)",0,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[3.25,3.5)"
83,"[2000,3000)","[3.5,3.75)",0,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[3.5,3.75)"
84,"[2000,3000)","[3.75,4.0)",9,v6_64670_split56_candidate,split56,0,1,0,v6_64670_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64670_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[3.75,4.0)"
85,"[2000,3000)","[4.0,4.25)",584,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,below prefit MC-count threshold,v6_64670_split56_candidate,diagnostic_low_stat,below prefit MC-count threshold,filtered_existing_cache,>=2000,"[4.0,4.25)"
86,"[2000,3000)","[4.25,4.5)",2327,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,"[4.25,4.5)"
87,"[2000,3000)","[4.5,4.75)",5383,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,"[4.5,4.75)"
88,"[2000,3000)","[4.75,5.0)",6447,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,"[4.75,5.0)"
89,"[2000,3000)","[5,5.5)",6916,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,>=5
