cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,psf_quality_flag,cell_role,exclusion_source,psf_systematic_variant,psf_borrowed_from,psf_borrow_method
41,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[500,800)","[3.5,3.75)",78267,1,1,1.0,1,drop4_fit,,,,
42,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[500,800)","[3.75,4.0)",33636,1,1,0.42975966882594197,1,drop4_fit,,,,
43,0,v6_64670_drop4_psfborrow,central99 MC-occupancy-ridge prefit cell; excluded for v4 cell-selection-bias drop4 control,"[500,800)","[4.0,4.25)",12122,1,1,0.1548800899485096,1,drop4_control_excluded,v4_drop4_bias_control,,,
44,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[4.25,4.5)",6969,1,0,0.08904135842692322,1,excluded,MC_prefit_selector,,,
45,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[4.5,4.75)",5966,1,0,0.0762262511658809,1,excluded,MC_prefit_selector,,,
46,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[4.75,5.0)",6086,1,0,0.07775946439751108,1,excluded,MC_prefit_selector,,,
47,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[5,6)",25188,1,0,0.32182145731917666,1,excluded,MC_prefit_selector,,,
48,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)",>=6,142,0,0,0.0018143023240957236,1,excluded,MC_prefit_selector,,,
49,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[2,2.5)",0,0,0,0.0,1,excluded,MC_prefit_selector,,,
50,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[2.5,3)",5,0,0,0.00016227970530005519,1,excluded,MC_prefit_selector,,,
51,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[3,3.25)",490,1,0,0.01590341111940541,1,excluded,MC_prefit_selector,,,
52,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[800,1100)","[3.25,3.5)",7276,1,1,0.23614942715264028,1,drop4_fit,,,,
53,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[800,1100)","[3.5,3.75)",26776,1,1,0.8690402778228554,1,drop4_fit,,,,
54,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[800,1100)","[3.75,4.0)",30811,1,1,1.0,1,drop4_fit,,,,
55,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[800,1100)","[4.0,4.25)",14279,1,1,0.4634383823958976,1,drop4_fit,,,,
56,0,v6_64670_drop4_psfborrow,excluded to preserve v4 drop4 cell-selection contract for v6 comparability,"[800,1100)","[4.25,4.5)",4144,1,1,0.13449741975268573,1,excluded,MC_prefit_selector,,,
57,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[4.5,4.75)",1783,1,0,0.05786894290999967,1,excluded,MC_prefit_selector,,,
58,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[4.75,5.0)",1857,1,0,0.06027068254844049,1,excluded,MC_prefit_selector,,,
59,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[5,6)",7779,1,0,0.2524747655058258,1,excluded,MC_prefit_selector,,,
60,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)",>=6,19,0,0,0.0006166628801402097,1,excluded,MC_prefit_selector,,,
61,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[2,2.5)",0,0,0,0.0,1,excluded,MC_prefit_selector,,,
62,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[2.5,3)",0,0,0,0.0,1,excluded,MC_prefit_selector,,,
63,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[3,3.25)",6,0,0,0.00020010005002501252,1,excluded,MC_prefit_selector,,,
64,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[3.25,3.5)",324,0,0,0.010805402701350676,1,excluded,MC_prefit_selector,,,
65,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[1100,2000)","[3.5,3.75)",4270,1,1,0.1424045356011339,1,drop4_fit,,,,
66,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[1100,2000)","[3.75,4.0)",17528,1,1,0.5845589461397366,1,drop4_fit,,,,
67,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[1100,2000)","[4.0,4.25)",29985,1,1,1.0,1,drop4_fit,,,,
68,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[1100,2000)","[4.25,4.5)",18934,1,1,0.6314490578622645,1,drop4_fit,,,,
69,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[1100,2000)","[4.5,4.75)",7628,1,1,0.2543938635984659,1,drop4_fit,,,,
70,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[4.75,5.0)",2044,1,0,0.06816741704185426,1,excluded,MC_prefit_selector,,,
71,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[5,6)",1131,1,0,0.037718859429714854,1,excluded,MC_prefit_selector,,,
72,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)",>=6,0,0,0,0.0,1,excluded,MC_prefit_selector,,,
73,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[2,2.5)",0,0,0,0.0,1,excluded,MC_prefit_selector,,,
